Data,Italia,Italia media mobile 7 gg,Italia variazioni su 7 gg (%),Lombardia,Lombardia media mobile 7 gg,Lombardia variazioni su 7 gg (%),Emilia-R.,Emilia-R. media mobile 7 gg,Emilia-R. variazioni su 7 gg (%),Veneto,Veneto media mobile 7 gg,Veneto variazioni su 7 gg (%),Piemonte,Piemonte media mobile 7 gg,Piemonte variazioni su 7 gg (%),Friuli VG,Friuli VG media mobile 7 gg,Friuli VG variazioni su 7 gg (%),Valle d'Aosta,Valle d'Aosta media mobile 7 gg,Valle d'Aosta variazioni su 7 gg (%),Liguria,Liguria media mobile 7 gg,Liguria variazioni su 7 gg (%),Trento,Trento media mobile 7 gg,Trento variazioni su 7 gg (%),Bolzano,Bolzano media mobile 7 gg,Bolzano variazioni su 7 gg (%),Marche,Marche media mobile 7 gg,Marche variazioni su 7 gg (%),Toscana,Toscana media mobile 7 gg,Toscana variazioni su 7 gg (%),Lazio,Lazio media mobile 7 gg,Lazio variazioni su 7 gg (%),Umbria,Umbria media mobile 7 gg,Umbria variazioni su 7 gg (%),Abruzzo,Abruzzo media mobile 7 gg,Abruzzo variazioni su 7 gg (%),Molise,Molise media mobile 7 gg,Molise variazioni su 7 gg (%),Campania,Campania media mobile 7 gg,Campania variazioni su 7 gg (%),Puglia,Puglia media mobile 7 gg,Puglia variazioni su 7 gg (%),Basilicata,Basilicata media mobile 7 gg,Basilicata variazioni su 7 gg (%),Calabria,Calabria media mobile 7 gg,Calabria variazioni su 7 gg (%),Sicilia,Sicilia media mobile 7 gg,Sicilia variazioni su 7 gg (%),Sardegna,Sardegna media mobile 7 gg,Sardegna variazioni su 7 gg (%),SERIE
25/02/20,3,,,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,
26/02/20,2,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,
27/02/20,5,,,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,
28/02/20,4,,,3,,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,
29/02/20,8,,,6,,,2,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,
01/03/20,5,,,1,,,4,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,
02/03/20,18,6,,14,5,,3,2,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,
03/03/20,27,10,,17,7,,7,3,,1,0,,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,
04/03/20,28,14,,18,9,,4,3,,3,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,
05/03/20,41,19,,25,12,,8,4,,4,1,,2,0,,0,0,,0,0,,2,0,,0,0,,0,0,,0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,
06/03/20,49,25,,37,17,,7,5,,2,1,,2,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,
07/03/20,36,29,,19,19,,11,6,,1,2,,1,1,,0,0,,0,0,,1,1,,0,0,,0,0,,2,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,
08/03/20,133,47,,113,35,,8,7,,5,2,,0,1,,1,0,,0,0,,2,1,,0,0,,0,0,,1,1,,0,0,,2,0,,0,0,,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,
09/03/20,97,59,,66,42,,14,8,,2,3,,8,2,,0,0,,0,0,,1,1,,0,0,,0,0,,3,1,,1,0,,2,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,
