Data,NUO TI,NUO RIC,NUO DEC,Terapie Intensive,Ricoveri,Decessi,Regione
3-apr,-5,-118,38,-5,-41,53,Emilia-Romagna
,,,,,,,
4-ott,-1,4,1,-1,4,1,Veneto
5-ott,0,4,0,-1,4,1,Veneto
6-ott,-5,26,4,-2,11,2,Veneto
7-ott,1,6,2,-1,10,2,Veneto
8-ott,3,-1,6,0,8,3,Veneto
9-ott,2,-5,3,0,6,3,Veneto
10-ott,-1,23,7,0,8,3,Veneto
11-ott,4,7,2,1,9,3,Veneto
12-ott,5,6,1,1,9,4,Veneto
13-ott,4,28,7,3,9,4,Veneto
14-ott,2,-1,0,3,8,4,Veneto
15-ott,5,8,11,3,9,4,Veneto
16-ott,0,20,7,3,13,5,Veneto
17-ott,3,29,3,3,14,4,Veneto
18-ott,1,50,9,3,20,5,Veneto
19-ott,0,18,-1,2,22,5,Veneto
20-ott,7,63,13,3,27,6,Veneto
21-ott,5,-20,14,3,24,8,Veneto
22-ott,3,61,19,3,32,9,Veneto
23-ott,5,15,7,3,31,9,Veneto
24-ott,4,33,9,4,31,10,Veneto
25-ott,3,37,12,4,30,10,Veneto
26-ott,5,27,3,5,31,11,Veneto
27-ott,7,52,12,5,29,11,Veneto
28-ott,7,44,11,5,38,10,Veneto
29-ott,7,51,16,5,37,10,Veneto
30-ott,20,18,17,8,37,11,Veneto
31-ott,6,24,13,8,36,12,Veneto
1-nov,9,31,17,9,35,13,Veneto
2-nov,4,41,9,9,37,14,Veneto
3-nov,6,138,31,8,50,16,Veneto
4-nov,7,65,20,8,53,18,Veneto
5-nov,15,86,38,10,58,21,Veneto
6-nov,5,22,27,7,58,22,Veneto
7-nov,7,116,25,8,71,24,Veneto
8-nov,9,55,6,8,75,22,Veneto
9-nov,10,109,21,8,84,24,Veneto
10-nov,9,132,48,9,84,26,Veneto
11-nov,4,73,46,8,85,30,Veneto
12-nov,5,94,38,7,86,30,Veneto
13-nov,6,68,37,7,92,32,Veneto
14-nov,9,38,52,7,81,35,Veneto
15-nov,13,65,29,8,83,39,Veneto
16-nov,11,51,22,8,74,39,Veneto
17-nov,14,-5,100,9,55,46,Veneto
18-nov,8,99,52,9,59,47,Veneto
19-nov,5,42,38,9,51,47,Veneto
20-nov,-12,49,66,7,48,51,Veneto
21-nov,8,30,67,7,47,53,Veneto
22-nov,6,11,31,6,40,54,Veneto
23-nov,9,69,37,5,42,56,Veneto
24-nov,10,56,95,5,51,55,Veneto
25-nov,5,86,76,4,49,59,Veneto
26-nov,-1,25,72,4,47,63,Veneto
27-nov,-1,-7,60,5,39,63,Veneto
28-nov,6,214,83,5,65,65,Veneto
29-nov,2,-212,33,4,33,65,Veneto
30-nov,9,18,34,4,26,65,Veneto
1-dic,-19,67,107,0,27,66,Veneto
2-dic,7,-8,69,0,14,65,Veneto
3-dic,-1,-18,95,0,8,69,Veneto
4-dic,2,-24,83,1,5,72,Veneto
5-dic,3,12,108,0,-24,76,Veneto
6-dic,-4,19,37,0,9,76,Veneto
7-dic,9,21,51,0,10,79,Veneto
8-dic,2,0,113,3,0,79,Veneto
9-dic,0,22,29,2,5,74,Veneto
10-dic,11,55,148,3,15,81,Veneto
11-dic,19,-40,108,6,13,85,Veneto
12-dic,-4,43,110,5,17,85,Veneto
13-dic,-5,-3,32,5,14,84,Veneto
14-dic,5,40,26,4,17,81,Veneto
15-dic,1,48,165,4,24,88,Veneto
16-dic,1,4,77,4,21,95,Veneto
17-dic,5,3,92,3,14,87,Veneto
18-dic,-13,-14,107,-1,17,87,Veneto
19-dic,0,-91,114,-1,-2,88,Veneto
20-dic,0,31,52,0,3,90,Veneto
21-dic,6,22,47,0,0,93,Veneto
22-dic,4,23,150,0,-3,91,Veneto
23-dic,1,-12,116,0,-5,97,Veneto
24-dic,1,-30,112,0,-10,100,Veneto
25-dic,-5,-48,94,1,-15,98,Veneto
26-dic,9,7,33,2,-1,86,Veneto
27-dic,5,37,52,3,0,86,Veneto
28-dic,-5,70,69,1,7,89,Veneto
29-dic,11,-18,191,2,1,95,Veneto
30-dic,-8,33,112,1,7,95,Veneto
31-dic,3,-13,129,1,10,97,Veneto
1-gen,11,-41,90,4,11,97,Veneto
2-gen,0,11,46,2,11,98,Veneto
3-gen,-7,20,88,1,9,104,Veneto
4-gen,3,18,50,2,1,101,Veneto
5-gen,-7,-12,175,-1,2,99,Veneto
6-gen,-18,-82,126,-2,-14,101,Veneto
7-gen,16,-18,43,0,-15,88,Veneto
8-gen,-2,-45,106,-2,-15,91,Veneto
9-gen,-8,-9,82,-3,-18,96,Veneto
10-gen,6,45,44,-1,-15,89,Veneto
11-gen,3,-3,38,-1,-18,88,Veneto
12-gen,1,14,166,0,-14,86,Veneto
13-gen,-23,-45,91,-1,-9,81,Veneto
14-gen,-8,-104,101,-4,-21,90,Veneto
15-gen,-1,-61,74,-4,-23,85,Veneto
16-gen,11,-69,73,-2,-32,84,Veneto
17-gen,0,-24,46,-2,-42,84,Veneto
18-gen,-2,-60,47,-3,-50,85,Veneto
19-gen,-18,-69,162,-6,-62,85,Veneto
20-gen,-3,-68,69,-3,-65,82,Veneto
21-gen,-10,-105,108,-3,-65,83,Veneto
22-gen,-14,-56,75,-5,-64,83,Veneto
23-gen,-5,-92,92,-7,-68,86,Veneto
24-gen,0,-47,28,-7,-71,83,Veneto
25-gen,-2,-35,43,-7,-67,82,Veneto
26-gen,-19,-19,93,-8,-60,73,Veneto
27-gen,-7,-42,62,-8,-57,72,Veneto
28-gen,-9,-101,52,-8,-56,64,Veneto
29-gen,-9,-90,53,-7,-61,60,Veneto
30-gen,-18,-71,60,-9,-58,56,Veneto
31-gen,-5,-8,9,-10,-52,53,Veneto
1-feb,-3,-20,39,-10,-50,53,Veneto
2-feb,-21,13,76,-10,-46,50,Veneto
3-feb,-17,-117,57,-12,-56,49,Veneto
4-feb,0,-74,62,-10,-52,51,Veneto
5-feb,-4,-38,25,-10,-45,47,Veneto
6-feb,-14,-71,63,-9,-45,47,Veneto
7-feb,-5,-13,28,-9,-46,50,Veneto
8-feb,0,0,18,-9,-43,47,Veneto
9-feb,-6,2,65,-7,-44,45,Veneto
10-feb,-11,-50,31,-6,-35,42,Veneto
11-feb,-1,-33,31,-6,-29,37,Veneto
12-feb,-12,-27,34,-7,-27,39,Veneto
13-feb,-12,-60,29,-7,-26,34,Veneto
14-feb,2,-15,9,-6,-26,31,Veneto
15-feb,-3,2,11,-6,-26,30,Veneto
16-feb,-8,-36,42,-6,-31,27,Veneto
17-feb,-5,-18,70,-6,-27,32,Veneto
18-feb,1,-45,30,-5,-28,32,Veneto
19-feb,0,-40,32,-4,-30,32,Veneto
20-feb,2,-18,18,-2,-24,30,Veneto
21-feb,2,-8,11,-2,-23,31,Veneto
22-feb,1,8,9,-1,-22,30,Veneto
23-feb,2,34,21,0,-12,27,Veneto
24-feb,-2,-8,21,1,-11,20,Veneto
25-feb,3,-5,28,1,-5,20,Veneto
26-feb,0,-9,23,1,-1,19,Veneto
27-feb,1,-8,23,1,1,19,Veneto
28-feb,5,5,10,1,2,19,Veneto
1-mar,0,25,5,1,5,19,Veneto
2-mar,6,17,22,2,2,19,Veneto
3-mar,10,17,17,4,6,18,Veneto
4-mar,3,26,20,4,10,17,Veneto
5-mar,-2,12,25,3,13,17,Veneto
6-mar,3,24,17,4,18,17,Veneto
7-mar,0,15,15,3,19,17,Veneto
8-mar,5,33,12,4,21,18,Veneto
9-mar,4,63,29,3,27,19,Veneto
10-mar,7,48,14,3,32,19,Veneto
11-mar,6,12,22,3,30,19,Veneto
12-mar,0,33,29,4,33,20,Veneto
13-mar,16,5,24,5,30,21,Veneto
14-mar,11,-4,8,7,27,20,Veneto
15-mar,5,34,10,7,27,19,Veneto
16-mar,0,141,84,6,38,27,Veneto
17-mar,5,55,59,6,39,34,Veneto
18-mar,2,15,36,6,40,36,Veneto
19-mar,6,1,23,6,35,35,Veneto
20-mar,6,19,20,5,37,34,Veneto
21-mar,10,37,10,5,43,35,Veneto
22-mar,4,43,14,5,44,35,Veneto
23-mar,17,53,52,7,32,31,Veneto
24-mar,10,24,28,8,27,26,Veneto
25-mar,10,27,25,9,29,25,Veneto
26-mar,1,-8,33,8,28,26,Veneto
27-mar,-3,-3,17,7,25,26,Veneto
28-mar,13,31,11,7,24,26,Veneto
29-mar,11,40,10,8,23,25,Veneto
30-mar,7,13,52,7,18,25,Veneto
31-mar,-3,47,35,5,21,26,Veneto
1-apr,-1,1,28,4,17,27,Veneto
2-apr,3,-11,29,4,17,26,Veneto
3-apr,2,-14,32,5,15,28,Veneto
,,,,,,,
4-ott,1,2,1,1,2,1,Piemonte
5-ott,2,57,1,2,30,1,Piemonte
6-ott,0,20,2,1,26,1,Piemonte
7-ott,0,4,2,1,21,2,Piemonte
8-ott,1,14,0,1,19,1,Piemonte
9-ott,6,34,0,2,22,1,Piemonte
10-ott,0,9,2,1,20,1,Piemonte
11-ott,2,24,3,2,23,1,Piemonte
12-ott,-2,79,3,1,26,2,Piemonte
13-ott,8,26,3,2,27,2,Piemonte
14-ott,3,79,4,3,38,2,Piemonte
15-ott,7,33,3,3,41,3,Piemonte
16-ott,3,63,4,3,45,3,Piemonte
17-ott,8,43,2,4,50,3,Piemonte
18-ott,4,79,2,4,57,3,Piemonte
19-ott,6,103,5,6,61,3,Piemonte
20-ott,1,154,6,5,79,4,Piemonte
21-ott,12,74,7,6,78,4,Piemonte
22-ott,5,115,11,6,90,5,Piemonte
23-ott,5,136,9,6,101,6,Piemonte
24-ott,4,121,12,5,112,7,Piemonte
25-ott,6,118,11,6,117,9,Piemonte
26-ott,8,248,14,6,138,10,Piemonte
27-ott,19,167,13,8,140,11,Piemonte
28-ott,14,221,19,9,161,13,Piemonte
29-ott,11,144,27,10,165,15,Piemonte
30-ott,13,166,23,11,169,17,Piemonte
31-ott,15,136,28,12,171,19,Piemonte
1-nov,5,161,11,12,178,19,Piemonte
2-nov,17,264,21,13,180,20,Piemonte
3-nov,17,271,29,13,195,23,Piemonte
4-nov,20,146,37,14,184,25,Piemonte
5-nov,16,173,39,15,188,27,Piemonte
6-nov,19,173,29,16,189,28,Piemonte
7-nov,16,251,45,16,206,30,Piemonte
8-nov,20,245,35,18,218,34,Piemonte
9-nov,8,173,49,17,205,38,Piemonte
10-nov,13,175,64,16,191,43,Piemonte
11-nov,15,75,84,15,181,49,Piemonte
12-nov,8,43,77,14,162,55,Piemonte
13-nov,5,57,61,12,146,59,Piemonte
14-nov,7,12,37,11,111,58,Piemonte
15-nov,12,19,45,10,79,60,Piemonte
16-nov,6,153,71,9,76,63,Piemonte
17-nov,6,76,73,8,62,64,Piemonte
18-nov,4,58,63,7,60,61,Piemonte
19-nov,2,-61,78,6,45,61,Piemonte
20-nov,3,78,88,6,48,65,Piemonte
21-nov,-3,-75,77,4,35,71,Piemonte
22-nov,8,-18,69,4,30,74,Piemonte
23-nov,1,-20,81,3,5,76,Piemonte
24-nov,5,4,73,3,-5,76,Piemonte
25-nov,-1,-21,84,2,-16,79,Piemonte
26-nov,0,-103,72,2,-22,78,Piemonte
27-nov,-8,-70,97,0,-43,79,Piemonte
28-nov,-11,-141,98,-1,-53,82,Piemonte
29-nov,1,-47,84,-2,-57,84,Piemonte
30-nov,3,3,85,-2,-54,85,Piemonte
1-dic,-11,-85,64,-4,-66,83,Piemonte
2-dic,5,-56,57,-3,-71,80,Piemonte
3-dic,-16,-137,92,-5,-76,82,Piemonte
4-dic,-9,-108,54,-5,-82,76,Piemonte
5-dic,9,-75,62,-3,-72,71,Piemonte
6-dic,-7,-37,55,-4,-71,67,Piemonte
7-dic,-14,4,64,-6,-71,64,Piemonte
8-dic,-15,-119,59,-7,-75,63,Piemonte
9-dic,-12,-22,67,-9,-71,65,Piemonte
10-dic,-8,-33,84,-8,-56,64,Piemonte
11-dic,-10,-64,96,-8,-49,70,Piemonte
12-dic,4,-148,59,-9,-60,69,Piemonte
13-dic,-13,-22,36,-10,-58,66,Piemonte
14-dic,-13,21,48,-10,-55,64,Piemonte
15-dic,-12,-95,77,-9,-52,67,Piemonte
16-dic,-9,-63,89,-9,-58,70,Piemonte
17-dic,-17,-101,80,-10,-67,69,Piemonte
18-dic,3,-81,79,-8,-70,67,Piemonte
19-dic,-9,-79,38,-10,-60,64,Piemonte
20-dic,-13,-48,29,-10,-64,63,Piemonte
21-dic,9,20,43,-7,-64,62,Piemonte
22-dic,-2,-78,50,-5,-61,58,Piemonte
23-dic,-13,-92,58,-6,-66,54,Piemonte
24-dic,-2,-95,48,-4,-65,49,Piemonte
25-dic,1,-115,28,-4,-70,42,Piemonte
26-dic,-6,-18,12,-4,-61,38,Piemonte
27-dic,3,28,17,-1,-50,37,Piemonte
28-dic,-6,3,20,-4,-52,33,Piemonte
29-dic,-9,-13,56,-5,-43,34,Piemonte
30-dic,-4,-72,33,-3,-40,31,Piemonte
31-dic,-2,-62,29,-3,-36,28,Piemonte
1-gen,-6,-111,38,-4,-35,29,Piemonte
2-gen,-2,-7,11,-4,-33,29,Piemonte
3-gen,6,9,8,-3,-36,28,Piemonte
4-gen,-5,33,9,-3,-32,26,Piemonte
5-gen,4,28,55,-1,-26,26,Piemonte
6-gen,5,-74,45,0,-26,28,Piemonte
7-gen,-8,-13,18,-1,-19,26,Piemonte
8-gen,-8,-3,27,-1,-4,25,Piemonte
9-gen,-4,-68,32,-1,-13,28,Piemonte
10-gen,4,14,11,-2,-12,28,Piemonte
11-gen,1,2,19,-1,-16,30,Piemonte
12-gen,-6,-52,42,-2,-28,28,Piemonte
13-gen,1,-48,41,-3,-24,27,Piemonte
14-gen,0,-30,21,-2,-26,28,Piemonte
15-gen,-9,-53,20,-2,-34,27,Piemonte
16-gen,-1,-58,62,-1,-32,31,Piemonte
17-gen,2,-4,19,-2,-35,32,Piemonte
18-gen,2,10,19,-2,-34,32,Piemonte
19-gen,2,30,34,0,-22,31,Piemonte
20-gen,-3,-34,43,-1,-20,31,Piemonte
21-gen,-6,-47,29,-2,-22,32,Piemonte
22-gen,-7,-77,23,-2,-26,33,Piemonte
23-gen,4,-5,26,-1,-18,28,Piemonte
24-gen,0,8,9,-1,-16,26,Piemonte
25-gen,7,19,21,0,-15,26,Piemonte
26-gen,0,-57,38,-1,-28,27,Piemonte
27-gen,0,-27,51,0,-27,28,Piemonte
28-gen,-12,-86,43,-1,-32,30,Piemonte
29-gen,-1,-31,38,0,-26,32,Piemonte
30-gen,0,-36,59,-1,-30,37,Piemonte
31-gen,-4,-5,14,-1,-32,38,Piemonte
1-feb,7,29,11,-1,-30,36,Piemonte
2-feb,-1,-13,37,-2,-24,36,Piemonte
3-feb,-5,-46,25,-2,-27,32,Piemonte
4-feb,-4,-27,31,-1,-18,31,Piemonte
5-feb,4,-44,22,0,-20,28,Piemonte
6-feb,-7,-14,21,-1,-17,23,Piemonte
7-feb,0,10,8,-1,-15,22,Piemonte
8-feb,8,19,12,-1,-16,22,Piemonte
9-feb,0,4,35,-1,-14,22,Piemonte
10-feb,5,-37,18,1,-13,21,Piemonte
11-feb,-3,-47,22,1,-16,20,Piemonte
12-feb,-6,-32,20,0,-14,19,Piemonte
13-feb,-3,-35,16,0,-17,19,Piemonte
14-feb,-1,24,6,0,-15,18,Piemonte
15-feb,4,20,14,-1,-15,19,Piemonte
16-feb,-3,-33,37,-1,-20,19,Piemonte
17-feb,-3,-25,22,-2,-18,20,Piemonte
18-feb,-10,-9,16,-3,-13,19,Piemonte
19-feb,2,-17,25,-2,-11,19,Piemonte
20-feb,0,8,12,-2,-5,19,Piemonte
21-feb,8,11,8,0,-6,19,Piemonte
22-feb,3,37,22,0,-4,20,Piemonte
23-feb,4,14,22,1,3,18,Piemonte
24-feb,7,-8,17,2,5,17,Piemonte
25-feb,10,-2,20,5,6,18,Piemonte
26-feb,1,29,5,5,13,15,Piemonte
27-feb,3,18,14,5,14,15,Piemonte
28-feb,2,59,4,4,21,15,Piemonte
1-mar,7,28,6,5,20,13,Piemonte
2-mar,5,96,20,5,31,12,Piemonte
3-mar,1,1,16,4,33,12,Piemonte
4-mar,7,31,26,4,37,13,Piemonte
5-mar,-3,52,24,3,41,16,Piemonte
6-mar,7,40,25,4,44,17,Piemonte
7-mar,10,53,9,5,43,18,Piemonte
8-mar,15,55,16,6,47,19,Piemonte
9-mar,11,61,22,7,42,20,Piemonte
10-mar,16,100,29,9,56,22,Piemonte
11-mar,-1,73,42,8,62,24,Piemonte
12-mar,4,79,28,9,66,24,Piemonte
13-mar,4,106,28,8,75,25,Piemonte
14-mar,16,96,3,9,81,24,Piemonte
15-mar,9,184,19,8,100,24,Piemonte
16-mar,23,99,43,10,105,27,Piemonte
17-mar,16,112,41,10,107,29,Piemonte
18-mar,0,-2,45,10,96,30,Piemonte
19-mar,11,53,33,11,93,30,Piemonte
20-mar,6,29,52,12,82,34,Piemonte
21-mar,14,94,12,11,81,35,Piemonte
22-mar,3,81,40,10,67,38,Piemonte
23-mar,-2,36,75,7,58,43,Piemonte
24-mar,7,36,30,6,47,41,Piemonte
25-mar,3,69,40,6,57,40,Piemonte
26-mar,1,82,38,5,61,41,Piemonte
27-mar,2,8,49,4,58,41,Piemonte
28-mar,9,9,10,3,46,40,Piemonte
29-mar,-5,61,18,2,43,37,Piemonte
30-mar,5,18,61,3,40,35,Piemonte
31-mar,7,18,39,3,38,36,Piemonte
1-apr,0,14,28,3,30,35,Piemonte
2-apr,2,-23,63,3,15,38,Piemonte
3-apr,-9,-45,23,1,7,35,Piemonte
,,,,,,,
4-ott,0,1,0,0,1,0,Friuli VG
5-ott,0,5,0,0,3,0,Friuli VG
6-ott,0,1,2,0,2,1,Friuli VG
7-ott,1,2,0,0,2,1,Friuli VG
8-ott,0,-3,0,0,1,0,Friuli VG
9-ott,0,0,0,0,1,0,Friuli VG
10-ott,0,0,0,0,1,0,Friuli VG
11-ott,-1,-1,1,0,1,0,Friuli VG
12-ott,0,0,0,0,0,0,Friuli VG
13-ott,5,5,0,1,0,0,Friuli VG
14-ott,1,1,0,1,0,0,Friuli VG
15-ott,0,4,2,1,1,0,Friuli VG
16-ott,1,13,1,1,3,1,Friuli VG
17-ott,1,4,0,1,4,1,Friuli VG
18-ott,1,7,2,1,5,1,Friuli VG
19-ott,-1,6,3,1,6,1,Friuli VG
20-ott,1,3,2,1,5,1,Friuli VG
21-ott,2,11,1,1,7,2,Friuli VG
22-ott,-2,7,1,0,7,1,Friuli VG
23-ott,5,5,1,1,6,1,Friuli VG
24-ott,-3,12,3,0,7,2,Friuli VG
25-ott,7,12,2,1,8,2,Friuli VG
26-ott,4,7,3,2,8,2,Friuli VG
27-ott,4,20,1,2,11,2,Friuli VG
28-ott,4,7,4,3,10,2,Friuli VG
29-ott,-1,6,5,3,10,3,Friuli VG
30-ott,1,9,7,2,10,4,Friuli VG
31-ott,1,6,3,3,10,4,Friuli VG
1-nov,2,13,1,2,10,3,Friuli VG
2-nov,-1,-1,5,1,9,4,Friuli VG
3-nov,2,26,8,1,9,5,Friuli VG
4-nov,1,10,3,1,10,5,Friuli VG
5-nov,4,53,9,1,17,5,Friuli VG
6-nov,0,-8,12,1,14,6,Friuli VG
7-nov,1,26,7,1,17,6,Friuli VG
8-nov,0,15,9,1,17,8,Friuli VG
9-nov,1,18,5,1,20,8,Friuli VG
10-nov,1,17,20,1,19,9,Friuli VG
11-nov,-1,10,13,1,19,11,Friuli VG
12-nov,1,0,9,0,11,11,Friuli VG
13-nov,0,20,8,0,15,10,Friuli VG
14-nov,-2,12,10,0,13,11,Friuli VG
15-nov,-2,23,12,0,14,11,Friuli VG
16-nov,4,6,18,0,13,13,Friuli VG
17-nov,-3,47,10,0,17,11,Friuli VG
18-nov,5,16,11,0,18,11,Friuli VG
19-nov,-1,15,13,0,20,12,Friuli VG
20-nov,6,20,28,1,20,15,Friuli VG
21-nov,1,4,25,1,19,17,Friuli VG
22-nov,1,36,13,2,21,17,Friuli VG
23-nov,-1,20,27,1,23,18,Friuli VG
24-nov,-1,-4,26,1,15,20,Friuli VG
25-nov,0,27,16,1,17,21,Friuli VG
26-nov,1,11,26,1,16,23,Friuli VG
27-nov,0,-5,35,0,13,24,Friuli VG
28-nov,-2,10,25,0,14,24,Friuli VG
29-nov,4,16,16,0,11,24,Friuli VG
30-nov,-2,13,21,0,10,24,Friuli VG
1-dic,7,4,25,1,11,23,Friuli VG
2-dic,-4,15,26,1,9,25,Friuli VG
3-dic,1,-23,52,1,4,29,Friuli VG
4-dic,0,3,36,1,5,29,Friuli VG
5-dic,-1,8,31,1,5,30,Friuli VG
6-dic,1,12,27,0,5,31,Friuli VG
7-dic,-1,13,24,0,5,32,Friuli VG
8-dic,6,-7,30,0,3,32,Friuli VG
9-dic,-1,5,33,1,2,33,Friuli VG
10-dic,-1,-11,42,0,3,32,Friuli VG
11-dic,1,-8,23,1,2,30,Friuli VG
12-dic,-4,10,28,0,2,30,Friuli VG
13-dic,1,1,18,0,0,28,Friuli VG
14-dic,-2,5,14,0,-1,27,Friuli VG
15-dic,-2,-6,52,-1,-1,30,Friuli VG
16-dic,-2,-20,40,-1,-4,31,Friuli VG
17-dic,3,-4,27,-1,-3,29,Friuli VG
18-dic,2,-29,33,-1,-6,30,Friuli VG
19-dic,-4,-7,9,-1,-9,28,Friuli VG
20-dic,0,8,21,-1,-8,28,Friuli VG
21-dic,1,5,15,0,-8,28,Friuli VG
22-dic,1,-9,33,0,-8,25,Friuli VG
23-dic,-1,-3,22,0,-6,23,Friuli VG
24-dic,0,-13,15,0,-7,21,Friuli VG
25-dic,-2,-10,20,-1,-4,19,Friuli VG
26-dic,2,15,15,0,-1,20,Friuli VG
27-dic,2,39,15,0,3,19,Friuli VG
28-dic,-2,19,27,0,5,21,Friuli VG
29-dic,4,10,21,0,8,19,Friuli VG
30-dic,-1,-14,15,0,7,18,Friuli VG
31-dic,3,4,15,1,9,18,Friuli VG
1-gen,1,2,27,1,11,19,Friuli VG
2-gen,0,5,18,1,9,20,Friuli VG
3-gen,-2,6,20,0,5,20,Friuli VG
4-gen,2,5,24,1,3,20,Friuli VG
5-gen,-4,-6,41,0,0,23,Friuli VG
6-gen,3,-8,33,0,1,25,Friuli VG
7-gen,2,12,29,0,2,27,Friuli VG
8-gen,0,10,28,0,3,28,Friuli VG
9-gen,-2,19,14,0,5,27,Friuli VG
10-gen,2,13,22,0,6,27,Friuli VG
11-gen,3,-15,30,1,4,28,Friuli VG
12-gen,1,-17,22,1,2,25,Friuli VG
13-gen,1,-6,31,1,2,25,Friuli VG
14-gen,-1,3,25,1,1,25,Friuli VG
15-gen,0,20,29,1,2,25,Friuli VG
16-gen,-2,-6,35,1,-1,28,Friuli VG
17-gen,-3,-5,22,0,-4,28,Friuli VG
18-gen,0,3,21,-1,-1,26,Friuli VG
19-gen,0,11,18,-1,3,26,Friuli VG
20-gen,-5,2,26,-2,4,25,Friuli VG
21-gen,1,-13,26,-1,2,25,Friuli VG
22-gen,2,-11,23,-1,-3,24,Friuli VG
23-gen,2,3,24,0,-1,23,Friuli VG
24-gen,-2,13,13,0,1,22,Friuli VG
25-gen,1,1,23,0,1,22,Friuli VG
26-gen,2,-18,33,0,-3,24,Friuli VG
27-gen,-3,-22,26,0,-7,24,Friuli VG
28-gen,-2,-27,21,0,-9,23,Friuli VG
29-gen,0,-14,18,0,-9,23,Friuli VG
30-gen,-2,-9,14,-1,-11,21,Friuli VG
31-gen,3,-6,16,0,-14,22,Friuli VG
1-feb,1,3,24,0,-13,22,Friuli VG
2-feb,0,-14,26,0,-13,21,Friuli VG
3-feb,2,-18,27,0,-12,21,Friuli VG
4-feb,1,-11,19,1,-10,21,Friuli VG
5-feb,1,-14,32,1,-10,23,Friuli VG
6-feb,-2,-3,25,1,-9,24,Friuli VG
7-feb,0,-12,14,0,-10,24,Friuli VG
8-feb,0,6,34,0,-9,25,Friuli VG
9-feb,3,-26,10,1,-11,23,Friuli VG
10-feb,-1,-20,14,0,-11,21,Friuli VG
11-feb,1,-24,40,0,-13,24,Friuli VG
12-feb,-2,-17,12,0,-14,21,Friuli VG
13-feb,-4,-15,11,0,-15,19,Friuli VG
14-feb,1,-11,11,0,-15,19,Friuli VG
15-feb,2,-2,12,0,-16,16,Friuli VG
16-feb,-3,-16,10,-1,-15,16,Friuli VG
17-feb,-1,-12,7,-1,-14,15,Friuli VG
18-feb,-1,-23,11,-1,-14,11,Friuli VG
19-feb,-2,-12,15,-1,-13,11,Friuli VG
20-feb,4,-1,8,0,-11,11,Friuli VG
21-feb,-3,2,8,-1,-9,10,Friuli VG
22-feb,-1,0,11,-1,-9,10,Friuli VG
23-feb,1,3,17,0,-6,11,Friuli VG
24-feb,1,-8,10,0,-6,11,Friuli VG
25-feb,-2,-10,15,0,-4,12,Friuli VG
26-feb,0,13,6,0,0,11,Friuli VG
27-feb,6,7,11,0,1,11,Friuli VG
28-feb,-1,6,7,1,2,11,Friuli VG
1-mar,1,12,3,1,3,10,Friuli VG
2-mar,-1,7,12,1,4,9,Friuli VG
3-mar,1,6,10,1,6,9,Friuli VG
4-mar,1,6,10,1,8,8,Friuli VG
5-mar,1,4,12,1,7,9,Friuli VG
6-mar,-1,13,11,0,8,9,Friuli VG
7-mar,-6,38,11,-1,12,10,Friuli VG
8-mar,1,10,19,-1,12,12,Friuli VG
9-mar,2,21,14,0,14,12,Friuli VG
10-mar,4,11,12,0,15,13,Friuli VG
11-mar,-3,8,16,0,15,14,Friuli VG
12-mar,4,1,14,0,15,14,Friuli VG
13-mar,0,6,15,0,14,14,Friuli VG
14-mar,2,24,10,1,12,14,Friuli VG
15-mar,3,4,17,2,11,14,Friuli VG
16-mar,7,-2,15,2,7,14,Friuli VG
17-mar,-1,8,15,2,7,15,Friuli VG
18-mar,1,7,19,2,7,15,Friuli VG
19-mar,0,2,21,2,7,16,Friuli VG
20-mar,3,17,14,2,9,16,Friuli VG
21-mar,1,32,15,2,10,17,Friuli VG
22-mar,1,15,18,2,11,17,Friuli VG
23-mar,1,9,22,1,13,18,Friuli VG
24-mar,-3,14,20,1,14,18,Friuli VG
25-mar,-2,11,13,0,14,18,Friuli VG
26-mar,0,5,28,0,15,19,Friuli VG
27-mar,4,-5,14,0,12,19,Friuli VG
28-mar,2,17,23,0,9,20,Friuli VG
29-mar,2,18,11,1,10,19,Friuli VG
30-mar,-6,-9,15,0,7,18,Friuli VG
31-mar,2,-7,17,0,4,17,Friuli VG
1-apr,-1,-12,15,0,1,18,Friuli VG
2-apr,0,-18,16,0,-2,16,Friuli VG
3-apr,-3,-38,20,-1,-7,17,Friuli VG
,,,,,,,
4-ott,0,-1,0,0,-1,0,Valle d'Aosta
5-ott,1,0,0,1,-1,0,Valle d'Aosta
6-ott,0,-1,0,0,-1,0,Valle d'Aosta
7-ott,0,-1,0,0,-1,0,Valle d'Aosta
8-ott,0,0,0,0,-1,0,Valle d'Aosta
9-ott,1,0,0,0,-1,0,Valle d'Aosta
10-ott,1,2,0,0,0,0,Valle d'Aosta
11-ott,0,2,0,0,0,0,Valle d'Aosta
12-ott,0,1,0,0,0,0,Valle d'Aosta
13-ott,0,2,0,0,1,0,Valle d'Aosta
14-ott,0,2,0,0,1,0,Valle d'Aosta
15-ott,0,1,0,0,1,0,Valle d'Aosta
16-ott,1,-1,0,0,1,0,Valle d'Aosta
17-ott,-2,4,0,0,2,0,Valle d'Aosta
18-ott,0,3,0,0,2,0,Valle d'Aosta
19-ott,2,6,0,0,2,0,Valle d'Aosta
20-ott,1,10,0,0,4,0,Valle d'Aosta
21-ott,0,6,0,0,4,0,Valle d'Aosta
22-ott,-2,6,3,0,5,0,Valle d'Aosta
23-ott,0,2,0,0,5,0,Valle d'Aosta
24-ott,-1,8,3,0,6,1,Valle d'Aosta
