Data,aggiornamento,Filter,Popolazione,Incidenza,Ricoveri,TI,Decessi,Data ospedali,Data decessi,PIncidenza,Pricoveri,PTI,PDecessi,,,,Rapporto ricoveri/incidenza,Rapporto TI/incidenza,Rapporto decessi/incidenza,Delay ospedali,Delay decessi,,,
21/11/20,01/10/21,Rapporti,59257566,,0.141,0.157,0.211,28/11/20,05/12/20,400,56.19,63.5,86.9,0.140,0.159,0.217,0.141,0.157,0.211,7,14,,,
22/11/20,01/10/21,Rapporti,59257566,,0.141,0.158,0.213,29/11/20,06/12/20,391,55.44,63.3,87.3,0.142,0.162,0.223,0.141,0.158,0.213,7,14,,,
23/11/20,01/10/21,Rapporti,59257566,,0.142,0.159,0.215,30/11/20,07/12/20,383,56,63.2,84.9,0.146,0.165,0.222,0.142,0.159,0.215,7,14,,,
24/11/20,01/10/21,Rapporti,59257566,,0.143,0.161,0.217,01/12/20,08/12/20,368,55.37,61.8,82.3,0.150,0.168,0.224,0.143,0.161,0.217,7,14,,,
25/11/20,01/10/21,Rapporti,59257566,,0.145,0.163,0.220,02/12/20,09/12/20,354,54.77,61,79.2,0.155,0.172,0.224,0.145,0.163,0.220,7,14,,,
26/11/20,01/10/21,Rapporti,59257566,,0.147,0.166,0.222,03/12/20,10/12/20,342,53.62,60.7,77.4,0.157,0.177,0.226,0.147,0.166,0.222,7,14,,,
27/11/20,01/10/21,Rapporti,59257566,,0.150,0.170,0.224,04/12/20,11/12/20,326,52.65,60.2,76.5,0.162,0.185,0.235,0.150,0.170,0.224,7,14,,,
28/11/20,01/10/21,Rapporti,59257566,,0.154,0.174,0.228,05/12/20,12/12/20,312,50.89,59.4,76.3,0.163,0.190,0.245,0.154,0.174,0.228,7,14,,,
29/11/20,01/10/21,Rapporti,59257566,,0.158,0.179,0.232,06/12/20,13/12/20,299,51.29,58.3,75,0.172,0.195,0.251,0.158,0.179,0.232,7,14,,,
30/11/20,01/10/21,Rapporti,59257567,,0.162,0.184,0.237,07/12/20,14/12/20,288,51.51,57.1,74.3,0.179,0.198,0.258,0.162,0.184,0.237,7,14,,,
01/12/20,01/10/21,Rapporti,59257568,,0.167,0.188,0.245,08/12/20,15/12/20,281,50.76,56.4,77.9,0.181,0.201,0.277,0.167,0.188,0.245,7,14,,,
02/12/20,01/10/21,Rapporti,59257569,,0.171,0.193,0.255,09/12/20,16/12/20,273,50.04,56,81,0.183,0.205,0.297,0.171,0.193,0.255,7,14,,,
03/12/20,01/10/21,Rapporti,59257570,,0.175,0.198,0.265,10/12/20,17/12/20,263,49.09,55.5,77.5,0.187,0.211,0.295,0.175,0.198,0.265,7,14,,,
04/12/20,01/10/21,Rapporti,59257571,,0.179,0.202,0.274,11/12/20,18/12/20,256,48.2,55.1,76.1,0.188,0.215,0.297,0.179,0.202,0.274,7,14,,,
05/12/20,01/10/21,Rapporti,59257572,,0.183,0.206,0.282,12/12/20,19/12/20,247,47.36,54,74.4,0.192,0.219,0.301,0.183,0.206,0.282,7,14,,,
06/12/20,01/10/21,Rapporti,59257573,,0.186,0.210,0.289,13/12/20,20/12/20,244,46.8,53.3,72.2,0.192,0.218,0.296,0.186,0.210,0.289,7,14,,,
07/12/20,01/10/21,Rapporti,59257574,,0.188,0.213,0.294,14/12/20,21/12/20,239,46.85,52.2,70.9,0.196,0.218,0.297,0.188,0.213,0.294,7,14,,,
08/12/20,01/10/21,Rapporti,59257575,,0.191,0.215,0.296,15/12/20,22/12/20,231,46.14,50.7,67.2,0.200,0.219,0.291,0.191,0.215,0.296,7,14,,,
09/12/20,01/10/21,Rapporti,59257576,,0.195,0.218,0.296,16/12/20,23/12/20,218,45.39,49.4,65.1,0.208,0.227,0.299,0.195,0.218,0.296,7,14,,,
10/12/20,01/10/21,Rapporti,59257577,,0.199,0.221,0.297,17/12/20,24/12/20,207,44.6,48.2,62.1,0.215,0.233,0.300,0.199,0.221,0.297,7,14,,,
11/12/20,01/10/21,Rapporti,59257578,,0.203,0.225,0.297,18/12/20,25/12/20,198,43.49,47.6,58.5,0.220,0.240,0.295,0.203,0.225,0.297,7,14,,,
12/12/20,01/10/21,Rapporti,59257579,,0.207,0.228,0.293,19/12/20,26/12/20,196,42.8,47,53.7,0.218,0.240,0.274,0.207,0.228,0.293,7,14,,,
13/12/20,01/10/21,Rapporti,59257580,,0.211,0.231,0.289,20/12/20,27/12/20,195,42.46,46.3,52.8,0.218,0.237,0.271,0.211,0.231,0.289,7,14,,,
14/12/20,01/10/21,Rapporti,59257581,,0.214,0.234,0.287,21/12/20,28/12/20,192,42.43,46.1,53.3,0.221,0.240,0.278,0.214,0.234,0.287,7,14,,,
15/12/20,01/10/21,Rapporti,59257582,,0.217,0.236,0.285,22/12/20,29/12/20,192,42.1,45.3,53.8,0.219,0.236,0.280,0.217,0.236,0.285,7,14,,,
16/12/20,01/10/21,Rapporti,59257583,,0.217,0.235,0.281,23/12/20,30/12/20,200,41.42,44.3,54.2,0.207,0.222,0.271,0.217,0.235,0.281,7,14,,,
17/12/20,01/10/21,Rapporti,59257584,,0.215,0.233,0.277,24/12/20,31/12/20,202,40.62,43.7,55,0.201,0.216,0.272,0.215,0.233,0.277,7,14,,,
18/12/20,01/10/21,Rapporti,59257585,,0.212,0.230,0.274,25/12/20,01/01/21,201,39.49,43.6,55,0.196,0.217,0.274,0.212,0.230,0.274,7,14,,,
19/12/20,01/10/21,Rapporti,59257586,,0.209,0.227,0.277,26/12/20,02/01/21,195,39.34,43.5,56.7,0.202,0.223,0.291,0.209,0.227,0.277,7,14,,,
20/12/20,01/10/21,Rapporti,59257587,,0.208,0.226,0.281,27/12/20,03/01/21,190,39.78,43.5,57.5,0.209,0.229,0.303,0.208,0.226,0.281,7,14,,,
21/12/20,01/10/21,Rapporti,59257588,,0.207,0.225,0.284,28/12/20,04/01/21,188,40.39,43.3,55.9,0.215,0.230,0.297,0.207,0.225,0.284,7,14,,,
22/12/20,01/10/21,Rapporti,59257589,,0.207,0.224,0.287,29/12/20,05/01/21,185,39.93,43,55.7,0.216,0.232,0.301,0.207,0.224,0.287,7,14,,,
23/12/20,01/10/21,Rapporti,59257590,,0.209,0.226,0.292,30/12/20,06/01/21,180,39.77,42.7,55.2,0.221,0.237,0.307,0.209,0.226,0.292,7,14,,,
24/12/20,01/10/21,Rapporti,59257591,,0.211,0.230,0.295,31/12/20,07/01/21,180,39.07,43.1,52.9,0.217,0.239,0.294,0.211,0.230,0.295,7,14,,,
25/12/20,01/10/21,Rapporti,59257592,,0.213,0.233,0.300,01/01/21,08/01/21,182,38.51,43.1,55.5,0.212,0.237,0.305,0.213,0.233,0.300,7,14,,,
26/12/20,01/10/21,Rapporti,59257593,,0.217,0.237,0.306,02/01/21,09/01/21,171,38.73,43.4,57.5,0.226,0.254,0.336,0.217,0.237,0.306,7,14,,,
27/12/20,01/10/21,Rapporti,59257594,,0.221,0.243,0.314,03/01/21,10/01/21,161,38.94,43.6,57.8,0.242,0.271,0.359,0.221,0.243,0.314,7,14,,,
28/12/20,01/10/21,Rapporti,59257595,,0.226,0.250,0.326,04/01/21,11/01/21,157,39.35,43.5,59.5,0.251,0.277,0.379,0.226,0.250,0.326,7,14,,,
29/12/20,01/10/21,Rapporti,59257596,,0.232,0.257,0.337,05/01/21,12/01/21,154,39.48,43.4,58.9,0.256,0.282,0.382,0.232,0.257,0.337,7,14,,,
30/12/20,01/10/21,Rapporti,59257597,,0.236,0.263,0.347,06/01/21,13/01/21,156,39.11,43.4,58.2,0.251,0.278,0.373,0.236,0.263,0.347,7,14,,,
31/12/20,01/10/21,Rapporti,59257598,,0.239,0.266,0.357,07/01/21,14/01/21,166,39.3,43.7,60,0.237,0.263,0.361,0.239,0.266,0.357,7,14,,,
01/01/21,01/10/21,Rapporti,59257599,,0.242,0.269,0.361,08/01/21,15/01/21,171,39.34,43.7,57.6,0.230,0.256,0.337,0.242,0.269,0.361,7,14,,,
02/01/21,01/10/21,Rapporti,59257600,,0.242,0.268,0.360,09/01/21,16/01/21,174,39.25,43.8,57.5,0.226,0.252,0.330,0.242,0.268,0.360,7,14,,,
03/01/21,01/10/21,Rapporti,59257601,,0.238,0.264,0.354,10/01/21,17/01/21,183,39.53,44.1,57.7,0.216,0.241,0.315,0.238,0.264,0.354,7,14,,,
04/01/21,01/10/21,Rapporti,59257602,,0.233,0.259,0.343,11/01/21,18/01/21,186,39.83,44.6,56.5,0.214,0.240,0.304,0.233,0.259,0.343,7,14,,,
05/01/21,01/10/21,Rapporti,59257603,,0.226,0.251,0.330,12/01/21,19/01/21,193,40.02,44.5,56.3,0.207,0.231,0.292,0.226,0.251,0.330,7,14,,,
06/01/21,01/10/21,Rapporti,59257604,,0.218,0.243,0.317,13/01/21,20/01/21,201,39.7,43.5,56.6,0.198,0.216,0.282,0.218,0.243,0.317,7,14,,,
07/01/21,01/10/21,Rapporti,59257605,,0.213,0.237,0.308,14/01/21,21/01/21,192,39,43.2,56.6,0.203,0.225,0.295,0.213,0.237,0.308,7,14,,,
08/01/21,01/10/21,Rapporti,59257606,,0.210,0.234,0.304,15/01/21,22/01/21,184,38.55,42.6,56.5,0.210,0.232,0.307,0.210,0.234,0.304,7,14,,,
09/01/21,01/10/21,Rapporti,59257607,,0.206,0.228,0.297,16/01/21,23/01/21,198,38.45,42.5,56.7,0.194,0.215,0.286,0.206,0.228,0.297,7,14,,,
10/01/21,01/10/21,Rapporti,59257608,,0.202,0.223,0.291,17/01/21,24/01/21,205,38.4,42.2,55.4,0.187,0.206,0.270,0.202,0.223,0.291,7,14,,,
11/01/21,01/10/21,Rapporti,59257609,,0.198,0.219,0.286,18/01/21,25/01/21,208,38.62,42.9,56.1,0.186,0.206,0.270,0.198,0.219,0.286,7,14,,,
12/01/21,01/10/21,Rapporti,59257610,,0.195,0.215,0.282,19/01/21,26/01/21,206,38.31,42,55.1,0.186,0.204,0.267,0.195,0.215,0.282,7,14,,,
13/01/21,01/10/21,Rapporti,59257611,,0.194,0.214,0.281,20/01/21,27/01/21,198,37.92,41.5,54.1,0.192,0.210,0.273,0.194,0.214,0.281,7,14,,,
14/01/21,01/10/21,Rapporti,59257612,,0.192,0.211,0.278,21/01/21,28/01/21,197,37.2,40.8,53.6,0.189,0.207,0.272,0.192,0.211,0.278,7,14,,,
15/01/21,01/10/21,Rapporti,59257613,,0.189,0.208,0.274,22/01/21,29/01/21,194,36.6,40.3,53.7,0.189,0.208,0.277,0.189,0.208,0.274,7,14,,,
16/01/21,01/10/21,Rapporti,59257614,,0.189,0.208,0.273,23/01/21,30/01/21,188,36.12,40.3,52.6,0.192,0.214,0.280,0.189,0.208,0.273,7,14,,,
17/01/21,01/10/21,Rapporti,59257615,,0.191,0.211,0.276,24/01/21,31/01/21,178,35.96,40.5,51.6,0.202,0.228,0.290,0.191,0.211,0.276,7,14,,,
18/01/21,01/10/21,Rapporti,59257616,,0.194,0.216,0.279,25/01/21,01/02/21,171,36.15,40.9,50,0.211,0.239,0.292,0.194,0.216,0.279,7,14,,,
19/01/21,01/10/21,Rapporti,59257617,,0.199,0.221,0.283,26/01/21,02/02/21,165,36.04,40,49.3,0.218,0.242,0.299,0.199,0.221,0.283,7,14,,,
20/01/21,01/10/21,Rapporti,59257618,,0.203,0.226,0.288,27/01/21,03/02/21,161,35.71,39.7,49.4,0.222,0.247,0.307,0.203,0.226,0.288,7,14,,,
21/01/21,01/10/21,Rapporti,59257619,,0.209,0.232,0.294,28/01/21,04/02/21,155,35.06,38.6,48.3,0.226,0.249,0.312,0.209,0.232,0.294,7,14,,,
22/01/21,01/10/21,Rapporti,59257620,,0.214,0.239,0.298,29/01/21,05/02/21,151,34.42,38.3,46.6,0.228,0.254,0.309,0.214,0.239,0.298,7,14,,,
23/01/21,01/10/21,Rapporti,59257621,,0.220,0.245,0.303,30/01/21,06/02/21,146,33.92,37.4,46,0.232,0.256,0.315,0.220,0.245,0.303,7,14,,,
24/01/21,01/10/21,Rapporti,59257622,,0.225,0.250,0.308,31/01/21,07/02/21,144,33.91,37.4,46.5,0.235,0.260,0.323,0.225,0.250,0.308,7,14,,,
25/01/21,01/10/21,Rapporti,59257623,,0.229,0.253,0.312,01/02/21,08/02/21,144,34.19,38,46.2,0.237,0.264,0.321,0.229,0.253,0.312,7,14,,,
26/01/21,01/10/21,Rapporti,59257624,,0.231,0.256,0.314,02/02/21,09/02/21,144,34.29,37.4,44.9,0.238,0.260,0.312,0.231,0.256,0.314,7,14,,,
27/01/21,01/10/21,Rapporti,59257625,,0.233,0.255,0.311,03/02/21,10/02/21,147,33.87,36.2,42.5,0.230,0.246,0.289,0.233,0.255,0.311,7,14,,,
28/01/21,01/10/21,Rapporti,59257626,,0.233,0.255,0.308,04/02/21,11/02/21,147,33.32,36.3,42,0.227,0.247,0.286,0.233,0.255,0.308,7,14,,,
29/01/21,01/10/21,Rapporti,59257627,,0.232,0.254,0.303,05/02/21,12/02/21,147,33.03,36.1,41,0.225,0.246,0.279,0.232,0.254,0.303,7,14,,,
30/01/21,01/10/21,Rapporti,59257628,,0.231,0.252,0.297,06/02/21,13/02/21,146,32.75,35.6,39.7,0.224,0.244,0.272,0.231,0.252,0.297,7,14,,,
31/01/21,01/10/21,Rapporti,59257629,,0.229,0.250,0.289,07/02/21,14/02/21,146,32.51,35.6,38.9,0.223,0.244,0.266,0.229,0.250,0.289,7,14,,,
01/02/21,01/10/21,Rapporti,59257630,,0.228,0.248,0.281,08/02/21,15/02/21,144,32.95,36.2,38.1,0.229,0.251,0.265,0.228,0.248,0.281,7,14,,,
02/02/21,01/10/21,Rapporti,59257631,,0.227,0.247,0.273,09/02/21,16/02/21,143,32.93,36.2,36.6,0.230,0.253,0.256,0.227,0.247,0.273,7,14,,,
03/02/21,01/10/21,Rapporti,59257632,,0.227,0.249,0.270,10/02/21,17/02/21,139,32.54,35.9,37.2,0.234,0.258,0.268,0.227,0.249,0.270,7,14,,,
04/02/21,01/10/21,Rapporti,59257633,,0.228,0.251,0.267,11/02/21,18/02/21,138,31.97,35.9,36.3,0.232,0.260,0.263,0.228,0.251,0.267,7,14,,,
05/02/21,01/10/21,Rapporti,59257634,,0.228,0.252,0.265,12/02/21,19/02/21,139,31.62,35.4,37,0.227,0.255,0.266,0.228,0.252,0.265,7,14,,,
06/02/21,01/10/21,Rapporti,59257635,,0.228,0.253,0.263,13/02/21,20/02/21,141,31.22,34.8,36,0.221,0.247,0.255,0.228,0.253,0.263,7,14,,,
07/02/21,01/10/21,Rapporti,59257636,,0.228,0.253,0.261,14/02/21,21/02/21,141,31.13,35.2,36.2,0.221,0.250,0.257,0.228,0.253,0.261,7,14,,,
08/02/21,01/10/21,Rapporti,59257637,,0.227,0.253,0.261,15/02/21,22/02/21,141,31.24,35.3,36.6,0.222,0.250,0.260,0.227,0.253,0.261,7,14,,,
09/02/21,01/10/21,Rapporti,59257638,,0.225,0.252,0.261,16/02/21,23/02/21,143,31.16,35,36.9,0.218,0.245,0.258,0.225,0.252,0.261,7,14,,,
10/02/21,01/10/21,Rapporti,59257639,,0.222,0.250,0.259,17/02/21,24/02/21,143,30.84,34.5,36.1,0.216,0.241,0.252,0.222,0.250,0.259,7,14,,,
11/02/21,01/10/21,Rapporti,59257640,,0.219,0.246,0.256,18/02/21,25/02/21,145,30.31,34.5,35.6,0.209,0.238,0.246,0.219,0.246,0.256,7,14,,,
12/02/21,01/10/21,Rapporti,59257641,,0.216,0.244,0.252,19/02/21,26/02/21,145,30.09,34.7,34,0.208,0.239,0.234,0.216,0.244,0.252,7,14,,,
13/02/21,01/10/21,Rapporti,59257642,,0.214,0.243,0.249,20/02/21,27/02/21,145,29.91,34.8,34.5,0.206,0.240,0.238,0.214,0.243,0.249,7,14,,,
14/02/21,01/10/21,Rapporti,59257643,,0.212,0.243,0.246,21/02/21,28/02/21,144,30.05,35.3,33.8,0.209,0.245,0.235,0.212,0.243,0.246,7,14,,,
15/02/21,01/10/21,Rapporti,59257644,,0.211,0.243,0.242,22/02/21,01/03/21,143,30.64,35.7,33.3,0.214,0.250,0.233,0.211,0.243,0.242,7,14,,,
16/02/21,01/10/21,Rapporti,59257645,,0.211,0.244,0.239,23/02/21,02/03/21,142,30.87,36.2,33.1,0.217,0.255,0.233,0.211,0.244,0.239,7,14,,,
17/02/21,01/10/21,Rapporti,59257646,,0.212,0.246,0.237,24/02/21,03/03/21,141,30.74,36.4,33.6,0.218,0.258,0.238,0.212,0.246,0.237,7,14,,,
18/02/21,01/10/21,Rapporti,59257647,,0.214,0.250,0.237,25/02/21,04/03/21,138,30.81,36.6,34.1,0.223,0.265,0.247,0.214,0.250,0.237,7,14,,,
19/02/21,01/10/21,Rapporti,59257648,,0.215,0.254,0.239,26/02/21,05/03/21,141,30.87,37,34.8,0.219,0.262,0.247,0.215,0.254,0.239,7,14,,,
20/02/21,01/10/21,Rapporti,59257649,,0.217,0.257,0.240,27/02/21,06/03/21,143,31,37.4,35.3,0.217,0.262,0.247,0.217,0.257,0.240,7,14,,,
21/02/21,01/10/21,Rapporti,59257650,,0.218,0.258,0.241,28/02/21,07/03/21,147,31.45,37.6,35.6,0.214,0.256,0.242,0.218,0.258,0.241,7,14,,,
22/02/21,01/10/21,Rapporti,59257651,,0.217,0.259,0.243,01/03/21,08/03/21,151,32.25,38.6,36.8,0.214,0.256,0.244,0.217,0.259,0.243,7,14,,,
23/02/21,01/10/21,Rapporti,59257652,,0.217,0.259,0.243,02/03/21,09/03/21,156,33.03,39.3,37.3,0.212,0.252,0.239,0.217,0.259,0.243,7,14,,,
24/02/21,01/10/21,Rapporti,59257653,,0.215,0.257,0.242,03/03/21,10/03/21,164,33.35,40.7,37.1,0.203,0.248,0.226,0.215,0.257,0.242,7,14,,,
25/02/21,01/10/21,Rapporti,59257654,,0.211,0.254,0.237,04/03/21,11/03/21,174,34.02,41.8,37.6,0.196,0.240,0.216,0.211,0.254,0.237,7,14,,,
26/02/21,01/10/21,Rapporti,59257655,,0.206,0.250,0.233,05/03/21,12/03/21,182,34.38,42.6,39,0.189,0.234,0.214,0.206,0.250,0.233,7,14,,,
27/02/21,01/10/21,Rapporti,59257656,,0.202,0.245,0.227,06/03/21,13/03/21,189,34.93,43.4,39.2,0.185,0.230,0.207,0.202,0.245,0.227,7,14,,,
28/02/21,01/10/21,Rapporti,59257657,,0.197,0.241,0.222,07/03/21,14/03/21,196,35.68,44,40.2,0.182,0.224,0.205,0.197,0.241,0.222,7,14,,,
01/03/21,01/10/21,Rapporti,59257658,,0.193,0.236,0.216,08/03/21,15/03/21,202,36.84,45.6,40.8,0.182,0.226,0.202,0.193,0.236,0.216,7,14,,,
02/03/21,01/10/21,Rapporti,59257659,,0.188,0.232,0.211,09/03/21,16/03/21,208,37.79,46.5,42.9,0.182,0.224,0.206,0.188,0.232,0.211,7,14,,,
03/03/21,01/10/21,Rapporti,59257660,,0.185,0.228,0.208,10/03/21,17/03/21,216,38.61,47.7,44.6,0.179,0.221,0.206,0.185,0.228,0.208,7,14,,,
04/03/21,01/10/21,Rapporti,59257661,,0.182,0.225,0.207,11/03/21,18/03/21,221,39.23,48.2,45.4,0.178,0.218,0.205,0.182,0.225,0.207,7,14,,,
05/03/21,01/10/21,Rapporti,59257662,,0.181,0.223,0.205,12/03/21,19/03/21,226,39.92,49.2,45.5,0.177,0.218,0.201,0.181,0.223,0.205,7,14,,,
06/03/21,01/10/21,Rapporti,59257663,,0.179,0.221,0.204,13/03/21,20/03/21,234,40.76,50.3,46.9,0.174,0.215,0.200,0.179,0.221,0.204,7,14,,,
07/03/21,01/10/21,Rapporti,59257664,,0.178,0.220,0.203,14/03/21,21/03/21,240,41.38,52,47.6,0.172,0.217,0.198,0.178,0.220,0.203,7,14,,,
08/03/21,01/10/21,Rapporti,59257665,,0.177,0.219,0.203,15/03/21,22/03/21,241,42.76,53.3,48.1,0.177,0.221,0.200,0.177,0.219,0.203,7,14,,,
09/03/21,01/10/21,Rapporti,59257666,,0.177,0.219,0.201,16/03/21,23/03/21,246,44.04,54.9,48.9,0.179,0.223,0.199,0.177,0.219,0.201,7,14,,,
10/03/21,01/10/21,Rapporti,59257667,,0.177,0.220,0.200,17/03/21,24/03/21,248,44.75,56,49.4,0.180,0.226,0.199,0.177,0.220,0.200,7,14,,,
11/03/21,01/10/21,Rapporti,59257668,,0.177,0.220,0.199,18/03/21,25/03/21,253,45.05,56.2,50,0.178,0.222,0.198,0.177,0.220,0.199,7,14,,,
12/03/21,01/10/21,Rapporti,59257669,,0.177,0.221,0.199,19/03/21,26/03/21,258,45.32,56.8,51.2,0.176,0.220,0.198,0.177,0.221,0.199,7,14,,,
13/03/21,01/10/21,Rapporti,59257670,,0.177,0.221,0.198,20/03/21,27/03/21,262,45.67,57.2,50.9,0.174,0.218,0.194,0.177,0.221,0.198,7,14,,,
14/03/21,01/10/21,Rapporti,59257671,,0.177,0.222,0.197,21/03/21,28/03/21,263,46.38,58.2,50.8,0.176,0.221,0.193,0.177,0.222,0.197,7,14,,,
15/03/21,01/10/21,Rapporti,59257672,,0.177,0.222,0.196,22/03/21,29/03/21,265,47.33,59.2,51.4,0.179,0.223,0.194,0.177,0.222,0.196,7,14,,,
16/03/21,01/10/21,Rapporti,59257673,,0.178,0.222,0.195,23/03/21,30/03/21,266,47.97,59.8,51,0.180,0.225,0.192,0.178,0.222,0.195,7,14,,,
17/03/21,01/10/21,Rapporti,59257674,,0.178,0.222,0.194,24/03/21,31/03/21,267,47.99,60.5,51.1,0.180,0.227,0.191,0.178,0.222,0.194,7,14,,,
18/03/21,01/10/21,Rapporti,59257675,,0.178,0.223,0.194,25/03/21,01/04/21,266,47.97,61.1,51.8,0.180,0.230,0.195,0.178,0.223,0.194,7,14,,,
19/03/21,01/10/21,Rapporti,59257676,,0.179,0.225,0.194,26/03/21,02/04/21,264,48.05,61.2,52.2,0.182,0.232,0.198,0.179,0.225,0.194,7,14,,,
20/03/21,01/10/21,Rapporti,59257677,,0.180,0.227,0.195,27/03/21,03/04/21,261,48.3,61.3,52.1,0.185,0.235,0.200,0.180,0.227,0.195,7,14,,,
21/03/21,01/10/21,Rapporti,59257678,,0.182,0.230,0.196,28/03/21,04/04/21,259,48.43,62.1,52.6,0.187,0.240,0.203,0.182,0.230,0.196,7,14,,,
22/03/21,01/10/21,Rapporti,59257679,,0.184,0.233,0.197,29/03/21,05/04/21,256,49.21,62.8,50.6,0.192,0.245,0.198,0.184,0.233,0.197,7,14,,,
23/03/21,01/10/21,Rapporti,59257680,,0.186,0.237,0.197,30/03/21,06/04/21,253,49.33,62.7,48.8,0.195,0.248,0.193,0.186,0.237,0.197,7,14,,,
24/03/21,01/10/21,Rapporti,59257681,,0.188,0.240,0.199,31/03/21,07/04/21,250,49.24,62.6,51.5,0.197,0.250,0.206,0.188,0.240,0.199,7,14,,,
25/03/21,01/10/21,Rapporti,59257682,,0.191,0.243,0.200,01/04/21,08/04/21,249,48.85,62.1,51.2,0.196,0.249,0.206,0.191,0.243,0.200,7,14,,,
26/03/21,01/10/21,Rapporti,59257683,,0.193,0.246,0.202,02/04/21,09/04/21,245,48.44,62.5,50.9,0.198,0.255,0.208,0.193,0.246,0.202,7,14,,,
27/03/21,01/10/21,Rapporti,59257684,,0.194,0.249,0.202,03/04/21,10/04/21,246,48.08,62.7,50.3,0.195,0.255,0.204,0.194,0.249,0.202,7,14,,,
28/03/21,01/10/21,Rapporti,59257685,,0.196,0.251,0.203,04/04/21,11/04/21,245,47.98,62.5,50.3,0.196,0.255,0.205,0.196,0.251,0.203,7,14,,,
29/03/21,01/10/21,Rapporti,59257686,,0.197,0.253,0.205,05/04/21,12/04/21,243,48.58,63.1,51.3,0.200,0.260,0.211,0.197,0.253,0.205,7,14,,,
30/03/21,01/10/21,Rapporti,59257687,,0.198,0.256,0.208,06/04/21,13/04/21,239,49.51,63.2,52.2,0.207,0.264,0.218,0.198,0.256,0.208,7,14,,,
31/03/21,01/10/21,Rapporti,59257688,,0.200,0.257,0.208,07/04/21,14/04/21,240,49.47,62.2,49.5,0.206,0.259,0.206,0.200,0.257,0.208,7,14,,,
01/04/21,01/10/21,Rapporti,59257689,,0.201,0.258,0.207,08/04/21,15/04/21,240,48.69,61.8,47.6,0.203,0.258,0.198,0.201,0.258,0.207,7,14,,,
02/04/21,01/10/21,Rapporti,59257690,,0.201,0.258,0.206,09/04/21,16/04/21,237,47.5,60.8,47,0.200,0.257,0.198,0.201,0.258,0.206,7,14,,,
03/04/21,01/10/21,Rapporti,59257691,,0.202,0.259,0.205,10/04/21,17/04/21,233,46.67,60.5,46.5,0.200,0.260,0.200,0.202,0.259,0.205,7,14,,,
04/04/21,01/10/21,Rapporti,59257692,,0.202,0.260,0.204,11/04/21,18/04/21,230,45.99,60.5,45.1,0.200,0.263,0.196,0.202,0.260,0.204,7,14,,,
05/04/21,01/10/21,Rapporti,59257693,,0.203,0.261,0.202,12/04/21,19/04/21,226,46.12,60.6,44.4,0.204,0.268,0.196,0.203,0.261,0.202,7,14,,,
06/04/21,01/10/21,Rapporti,59257694,,0.204,0.264,0.200,13/04/21,20/04/21,212,45.48,59.5,42.9,0.215,0.281,0.202,0.204,0.264,0.200,7,14,,,
07/04/21,01/10/21,Rapporti,59257695,,0.207,0.269,0.200,14/04/21,21/04/21,198,44.5,58.9,41.2,0.225,0.297,0.208,0.207,0.269,0.200,7,14,,,
08/04/21,01/10/21,Rapporti,59257696,,0.211,0.276,0.203,15/04/21,22/04/21,187,43.18,57.7,40.8,0.231,0.309,0.218,0.211,0.276,0.203,7,14,,,
09/04/21,01/10/21,Rapporti,59257697,,0.215,0.284,0.205,16/04/21,23/04/21,181,41.76,56.8,39.4,0.231,0.314,0.218,0.215,0.284,0.205,7,14,,,
10/04/21,01/10/21,Rapporti,59257698,,0.220,0.293,0.209,17/04/21,24/04/21,175,40.67,56.4,39.6,0.232,0.322,0.226,0.220,0.293,0.209,7,14,,,
11/04/21,01/10/21,Rapporti,59257699,,0.224,0.303,0.214,18/04/21,25/04/21,171,39.91,55.9,39,0.233,0.327,0.228,0.224,0.303,0.214,7,14,,,
12/04/21,01/10/21,Rapporti,59257700,,0.229,0.310,0.218,19/04/21,26/04/21,170,40.07,54.7,38.7,0.236,0.322,0.228,0.229,0.310,0.218,7,14,,,
13/04/21,01/10/21,Rapporti,59257701,,0.230,0.313,0.220,20/04/21,27/04/21,179,39.24,53.2,38.5,0.219,0.297,0.215,0.230,0.313,0.220,7,14,,,
14/04/21,01/10/21,Rapporti,59257702,,0.227,0.310,0.220,21/04/21,28/04/21,184,38.45,51.9,38.1,0.209,0.282,0.207,0.227,0.310,0.220,7,14,,,
15/04/21,01/10/21,Rapporti,59257703,,0.223,0.306,0.218,22/04/21,29/04/21,183,37.28,51,36.9,0.204,0.279,0.202,0.223,0.306,0.218,7,14,,,
16/04/21,01/10/21,Rapporti,59257704,,0.220,0.302,0.215,23/04/21,30/04/21,178,36.18,50.3,35.6,0.203,0.283,0.200,0.220,0.302,0.215,7,14,,,
17/04/21,01/10/21,Rapporti,59257705,,0.215,0.296,0.211,24/04/21,01/05/21,174,35.39,48.8,34,0.203,0.280,0.195,0.215,0.296,0.211,7,14,,,
18/04/21,01/10/21,Rapporti,59257706,,0.212,0.290,0.206,25/04/21,02/05/21,169,34.87,48.3,32.7,0.206,0.286,0.193,0.212,0.290,0.206,7,14,,,
19/04/21,01/10/21,Rapporti,59257707,,0.207,0.285,0.200,26/04/21,03/05/21,168,34.82,48.1,32,0.207,0.286,0.190,0.207,0.285,0.200,7,14,,,
20/04/21,01/10/21,Rapporti,59257708,,0.206,0.282,0.196,27/04/21,04/05/21,165,34.28,46.4,30.8,0.208,0.281,0.187,0.206,0.282,0.196,7,14,,,
