Data,Data ottobre,aggiornamento,Filter,luglio-agosto 2021,ottobre-novembre 2020,proiezione,popup,delta
21/07/21,16/10/20,25/07/21,Variazioni % TI,4.60,64.90,,4.6,-60.3
22/07/21,17/10/20,25/07/21,Variazioni % TI,3.30,80.80,,3.3,-77.5
23/07/21,18/10/20,25/07/21,Variazioni % TI,-3.70,78.60,,-3.7,-82.3
24/07/21,19/10/20,25/07/21,Variazioni % TI,6.20,76.30,,6.2,-70.1
25/07/21,20/10/20,25/07/21,Variazioni % TI,14.10,69.30,14.1,14.1,-55.2
26/07/21,21/10/20,25/07/21,Variazioni % TI,,71.80,16.6,16.6,-55.2
27/07/21,22/10/20,25/07/21,Variazioni % TI,,69.30,14.1,14.1,-55.2
28/07/21,23/10/20,25/07/21,Variazioni % TI,,64.40,9.2,9.2,-55.2
29/07/21,24/10/20,25/07/21,Variazioni % TI,,60.00,4.8,4.8,-55.2
30/07/21,25/10/20,25/07/21,Variazioni % TI,,61.10,5.9,5.9,-55.2
31/07/21,26/10/20,25/07/21,Variazioni % TI,,61.10,5.9,5.9,-55.2
01/08/21,27/10/20,25/07/21,Variazioni % TI,,62.20,7,7,-55.2
02/08/21,28/10/20,25/07/21,Variazioni % TI,,65.90,10.7,10.7,-55.2
03/08/21,29/10/20,25/07/21,Variazioni % TI,,66.40,11.2,11.2,-55.2
04/08/21,30/10/20,25/07/21,Variazioni % TI,,66.40,11.2,11.2,-55.2
05/08/21,31/10/20,25/07/21,Variazioni % TI,,63.40,8.2,8.2,-55.2
06/08/21,01/11/20,25/07/21,Variazioni % TI,,60.50,5.3,5.3,-55.2
07/08/21,02/11/20,25/07/21,Variazioni % TI,,57.50,2.3,2.3,-55.2
08/08/21,03/11/20,25/07/21,Variazioni % TI,,57.70,2.5,2.5,-55.2
09/08/21,04/11/20,25/07/21,Variazioni % TI,,49.20,-6,-6,-55.2
10/08/21,05/11/20,25/07/21,Variazioni % TI,,44.80,-10.4,-10.4,-55.2
11/08/21,06/11/20,25/07/21,Variazioni % TI,,44.00,-11.2,-11.2,-55.2
12/08/21,07/11/20,25/07/21,Variazioni % TI,,42.90,-12.3,-12.3,-55.2
13/08/21,08/11/20,25/07/21,Variazioni % TI,,41.80,-13.4,-13.4,-55.2
14/08/21,09/11/20,25/07/21,Variazioni % TI,,40.90,-14.3,-14.3,-55.2
15/08/21,10/11/20,25/07/21,Variazioni % TI,,33.50,-21.7,-21.7,-55.2
16/08/21,11/11/20,25/07/21,Variazioni % TI,,34.40,-20.8,-20.8,-55.2
17/08/21,12/11/20,25/07/21,Variazioni % TI,,32.60,-22.6,-22.6,-55.2
18/08/21,13/11/20,25/07/21,Variazioni % TI,,28.40,-26.8,-26.8,-55.2
19/08/21,14/11/20,25/07/21,Variazioni % TI,,25.50,-29.7,-29.7,-55.2
20/08/21,15/11/20,25/07/21,Variazioni % TI,,24.50,-30.7,-30.7,-55.2
21/08/21,16/11/20,25/07/21,Variazioni % TI,,22.60,-32.6,-32.6,-55.2
22/08/21,17/11/20,25/07/21,Variazioni % TI,,21.60,-33.6,-33.6,-55.2
23/08/21,18/11/20,25/07/21,Variazioni % TI,,19.10,-36.1,-36.1,-55.2
24/08/21,19/11/20,25/07/21,Variazioni % TI,,17.10,-38.1,-38.1,-55.2
25/08/21,20/11/20,25/07/21,Variazioni % TI,,16.00,-39.2,-39.2,-55.2
,,,,,,,,
27/06/21,22/09/20,25/07/21,Variazioni % decessi,-24.6,50,,-24.6,-74.6
28/06/21,23/09/20,25/07/21,Variazioni % decessi,-17.4,66.2,,-17.4,-83.6
29/06/21,24/09/20,25/07/21,Variazioni % decessi,-0.5,73.2,,-0.5,-73.7
30/06/21,25/09/20,25/07/21,Variazioni % decessi,27.5,87.3,,27.5,-59.8
01/07/21,26/09/20,25/07/21,Variazioni % decessi,30.8,41.6,,30.8,-10.8
02/07/21,27/09/20,25/07/21,Variazioni % decessi,2.1,32,,2.1,-29.9
03/07/21,28/09/20,25/07/21,Variazioni % decessi,-12.7,27,,-12.7,-39.7
04/07/21,29/09/20,25/07/21,Variazioni % decessi,-12.4,30.5,,-12.4,-42.9
05/07/21,30/09/20,25/07/21,Variazioni % decessi,-13.9,20.4,,-13.9,-34.3
06/07/21,01/10/20,25/07/21,Variazioni % decessi,-26.4,11.4,,-26.4,-37.8
07/07/21,02/10/20,25/07/21,Variazioni % decessi,-34.5,5.3,,-34.5,-39.8
08/07/21,03/10/20,25/07/21,Variazioni % decessi,-36,19,,-36,-55
09/07/21,04/10/20,25/07/21,Variazioni % decessi,-28.4,18,,-28.4,-46.4
10/07/21,05/10/20,25/07/21,Variazioni % decessi,-26.8,18.9,,-26.8,-45.7
11/07/21,06/10/20,25/07/21,Variazioni % decessi,-28.8,13.1,,-28.8,-41.9
12/07/21,07/10/20,25/07/21,Variazioni % decessi,-40,22.8,,-40,-62.8
13/07/21,08/10/20,25/07/21,Variazioni % decessi,-35.8,20.4,,-35.8,-56.2
14/07/21,09/10/20,25/07/21,Variazioni % decessi,-25.7,21.4,,-25.7,-47.1
15/07/21,10/10/20,25/07/21,Variazioni % decessi,-24.3,14.7,,-24.3,-39
16/07/21,11/10/20,25/07/21,Variazioni % decessi,-32.6,19.2,,-32.6,-51.8
17/07/21,12/10/20,25/07/21,Variazioni % decessi,-26.7,34.4,,-26.7,-61.1
18/07/21,13/10/20,25/07/21,Variazioni % decessi,-27,39.4,,-27,-66.4
19/07/21,14/10/20,25/07/21,Variazioni % decessi,-20.4,36.5,,-20.4,-56.9
20/07/21,15/10/20,25/07/21,Variazioni % decessi,-26.9,75.2,,-26.9,-102.1
21/07/21,16/10/20,25/07/21,Variazioni % decessi,-34.5,85.9,,-34.5,-120.4
22/07/21,17/10/20,25/07/21,Variazioni % decessi,-26.6,94.2,,-26.6,-120.8
23/07/21,18/10/20,25/07/21,Variazioni % decessi,-9.5,109.4,,-9.5,-118.9
24/07/21,19/10/20,25/07/21,Variazioni % decessi,-18.8,102.5,,-18.8,-121.3
25/07/21,20/10/20,25/07/21,Variazioni % decessi,-10.9,112.5,-10.9,-10.9,-123.4
26/07/21,21/10/20,25/07/21,Variazioni % decessi,,138.2,14.8,14.8,-123.4
27/07/21,22/10/20,25/07/21,Variazioni % decessi,,106.2,-17.2,-17.2,-123.4
28/07/21,23/10/20,25/07/21,Variazioni % decessi,,100,-23.4,-23.4,-123.4
29/07/21,24/10/20,25/07/21,Variazioni % decessi,,120.4,-3,-3,-123.4
30/07/21,25/10/20,25/07/21,Variazioni % decessi,,110.9,-12.5,-12.5,-123.4
31/07/21,26/10/20,25/07/21,Variazioni % decessi,,110,-13.4,-13.4,-123.4
01/08/21,27/10/20,25/07/21,Variazioni % decessi,,116.8,-6.6,-6.6,-123.4
02/08/21,28/10/20,25/07/21,Variazioni % decessi,,97.6,-25.8,-25.8,-123.4
03/08/21,29/10/20,25/07/21,Variazioni % decessi,,93.6,-29.8,-29.8,-123.4
04/08/21,30/10/20,25/07/21,Variazioni % decessi,,99.7,-23.7,-23.7,-123.4
05/08/21,31/10/20,25/07/21,Variazioni % decessi,,91.3,-32.1,-32.1,-123.4
06/08/21,01/11/20,25/07/21,Variazioni % decessi,,87.2,-36.2,-36.2,-123.4
07/08/21,02/11/20,25/07/21,Variazioni % decessi,,83.1,-40.3,-40.3,-123.4
08/08/21,03/11/20,25/07/21,Variazioni % decessi,,72.1,-51.3,-51.3,-123.4
09/08/21,04/11/20,25/07/21,Variazioni % decessi,,71.7,-51.7,-51.7,-123.4
10/08/21,05/11/20,25/07/21,Variazioni % decessi,,79.4,-44,-44,-123.4
11/08/21,06/11/20,25/07/21,Variazioni % decessi,,83.6,-39.8,-39.8,-123.4
12/08/21,07/11/20,25/07/21,Variazioni % decessi,,73.7,-49.7,-49.7,-123.4
13/08/21,08/11/20,25/07/21,Variazioni % decessi,,72.6,-50.8,-50.8,-123.4
14/08/21,09/11/20,25/07/21,Variazioni % decessi,,70.3,-53.1,-53.1,-123.4
15/08/21,10/11/20,25/07/21,Variazioni % decessi,,70.4,-53,-53,-123.4
16/08/21,11/11/20,25/07/21,Variazioni % decessi,,74,-49.4,-49.4,-123.4
17/08/21,12/11/20,25/07/21,Variazioni % decessi,,64.1,-59.3,-59.3,-123.4
18/08/21,13/11/20,25/07/21,Variazioni % decessi,,51.1,-72.3,-72.3,-123.4
19/08/21,14/11/20,25/07/21,Variazioni % decessi,,48.1,-75.3,-75.3,-123.4
20/08/21,15/11/20,25/07/21,Variazioni % decessi,,49.3,-74.1,-74.1,-123.4
21/08/21,16/11/20,25/07/21,Variazioni % decessi,,48,-75.4,-75.4,-123.4
22/08/21,17/11/20,25/07/21,Variazioni % decessi,,41.7,-81.7,-81.7,-123.4
23/08/21,18/11/20,25/07/21,Variazioni % decessi,,33,-90.4,-90.4,-123.4
24/08/21,19/11/20,25/07/21,Variazioni % decessi,,26,-97.4,-97.4,-123.4
25/08/21,20/11/20,25/07/21,Variazioni % decessi,,26.5,-96.9,-96.9,-123.4
