Data,CASI,VARIAZIONI,1,2,3,4,5,Regione
25-gen,114,-13,0,100,0,0,0,Lombardia
26-gen,117,-9.2,0,100,0,0,0,Lombardia
27-gen,122,-3.2,0,100,0,0,0,Lombardia
28-gen,125,2.6,0,100,0,0,0,Lombardia
29-gen,125,4.1,0,100,0,0,0,Lombardia
30-gen,128,12.2,0,100,0,0,0,Lombardia
31-gen,128,15.1,0,100,0,0,0,Lombardia
1-feb,124,8.6,0,0,100,0,0,Lombardia
2-feb,121,3.1,0,0,100,0,0,Lombardia
3-feb,116,-5,0,0,100,0,0,Lombardia
4-feb,107,-14.7,0,0,100,0,0,Lombardia
5-feb,113,-9.3,0,0,100,0,0,Lombardia
6-feb,114,-10.7,0,0,100,0,0,Lombardia
7-feb,115,-10.6,0,0,100,0,0,Lombardia
8-feb,113,-9.3,0,0,100,0,0,Lombardia
9-feb,120,-1,0,0,100,0,0,Lombardia
10-feb,121,4.7,0,0,100,0,0,Lombardia
11-feb,128,19.6,0,0,100,0,0,Lombardia
12-feb,128,13.4,0,0,100,0,0,Lombardia
13-feb,132,15.6,0,0,100,0,0,Lombardia
14-feb,136,18.9,0,0,100,0,0,Lombardia
15-feb,137,21.5,0,0,100,0,0,Lombardia
16-feb,138,14.8,0,0,100,0,0,Lombardia
17-feb,137,13,0,0,100,0,0,Lombardia
18-feb,138,7.8,0,0,100,0,0,Lombardia
19-feb,150,17,0,0,100,0,0,Lombardia
20-feb,157,19.5,0,0,100,0,0,Lombardia
21-feb,163,19.2,0,0,100,0,0,Lombardia
22-feb,168,22.8,0,0,100,0,0,Lombardia
23-feb,176,27.8,0,0,100,0,0,Lombardia
24-feb,191,40,0,0,100,0,0,Lombardia
25-feb,208,51.3,0,0,100,0,0,Lombardia
26-feb,217,44.7,0,0,100,0,0,Lombardia
27-feb,229,45.4,0,0,100,0,0,Lombardia
28-feb,239,46.9,0,0,100,0,0,Lombardia
1-mar,245,46,0,100,0,0,0,Lombardia
2-mar,258,46.7,0,100,0,0,0,Lombardia
3-mar,271,41.6,0,100,0,0,0,Lombardia
4-mar,280,34.4,0,100,0,0,0,Lombardia
5-mar,287,32.3,0,0,0,100,0,Lombardia
6-mar,302,31.9,0,0,0,100,0,Lombardia
7-mar,310,29.8,0,0,0,100,0,Lombardia
8-mar,312,27.1,0,0,0,100,0,Lombardia
9-mar,315,22,0,0,0,100,0,Lombardia
10-mar,313,15.6,0,0,0,100,0,Lombardia
11-mar,320,14.1,0,0,0,100,0,Lombardia
12-mar,331,15.2,0,0,0,100,0,Lombardia
13-mar,332,10.1,0,0,0,100,0,Lombardia
14-mar,332,7,0,0,0,100,0,Lombardia
15-mar,331,6.1,100,0,0,0,0,Lombardia
16-mar,332,5.5,100,0,0,0,0,Lombardia
17-mar,333,6.2,100,0,0,0,0,Lombardia
18-mar,331,3.3,100,0,0,0,0,Lombardia
19-mar,323,-2.2,100,0,0,0,0,Lombardia
20-mar,313,-5.7,100,0,0,0,0,Lombardia
21-mar,310,-6.6,100,0,0,0,0,Lombardia
22-mar,309,-6.5,100,0,0,0,0,Lombardia
23-mar,303,-8.7,100,0,0,0,0,Lombardia
24-mar,301,-9.5,100,0,0,0,0,Lombardia
25-mar,295,-10.8,100,0,0,0,0,Lombardia
26-mar,291,-10.1,100,0,0,0,0,Lombardia
27-mar,291,-7,100,0,0,0,0,Lombardia
28-mar,287,-7.5,100,0,0,0,0,Lombardia
29-mar,283,-8.3,100,0,0,0,0,Lombardia
30-mar,280,-7.7,100,0,0,0,0,Lombardia
31-mar,276,-8.2,100,0,0,0,0,Lombardia
1-apr,271,-8.3,100,0,0,0,0,Lombardia
2-apr,259,-10.8,100,0,0,0,0,Lombardia
3-apr,252,-13.6,100,0,0,0,0,Lombardia
4-apr,246,-14,100,0,0,0,0,Lombardia
5-apr,242,-14.6,100,0,0,0,0,Lombardia
6-apr,218,-22.1,100,0,0,0,0,Lombardia
7-apr,204,-26.2,100,0,0,0,0,Lombardia
8-apr,184,-31.8,100,0,0,0,0,Lombardia
9-apr,178,-31.4,100,0,0,0,0,Lombardia
10-apr,166,-33.9,100,0,0,0,0,Lombardia
11-apr,159,-35.4,100,0,0,0,0,Lombardia
12-apr,156,-35.7,0,100,0,0,0,Lombardia
13-apr,167,-23.3,0,100,0,0,0,Lombardia
14-apr,163,-20.2,0,100,0,0,0,Lombardia
15-apr,165,-10.7,0,100,0,0,0,Lombardia
16-apr,156,-12.3,0,100,0,0,0,Lombardia
17-apr,152,-8.7,0,100,0,0,0,Lombardia
18-apr,147,-8,0,100,0,0,0,Lombardia
19-apr,147,-5.5,0,100,0,0,0,Lombardia
20-apr,144,-13.8,0,100,0,0,0,Lombardia
21-apr,143,-12,0,100,0,0,0,Lombardia
22-apr,141,-14.3,0,100,0,0,0,Lombardia
23-apr,140,-10.3,0,100,0,0,0,Lombardia
24-apr,138,-9.3,0,100,0,0,0,Lombardia
25-apr,139,-4.8,0,100,0,0,0,Lombardia
26-apr,138,-6.3,0,0,100,0,0,Lombardia
27-apr,135,-6.4,0,0,100,0,0,Lombardia
28-apr,138,-3.6,0,0,100,0,0,Lombardia
29-apr,136,-3.6,0,0,100,0,0,Lombardia
30-apr,135,-3.3,0,0,100,0,0,Lombardia
1-mag,134,-2.9,0,0,100,0,0,Lombardia
2-mag,127,-9.1,0,0,100,0,0,Lombardia
3-mag,124,-9.7,0,0,100,0,0,Lombardia
4-mag,124,-7.8,0,0,100,0,0,Lombardia
5-mag,115,-16.6,0,0,100,0,0,Lombardia
6-mag,114,-16.5,0,0,100,0,0,Lombardia
7-mag,109,-19.3,0,0,100,0,0,Lombardia
8-mag,104,-22.4,0,0,100,0,0,Lombardia
9-mag,104,-17.9,0,0,100,0,0,Lombardia
10-mag,103,-16.8,0,0,100,0,0,Lombardia
