Rtmax,Rtmin,Varmax,Varmin,Vmax,Vmin,%RtMax,%RtMin,%Vmax,%Vmin,NV%max,NV%min,Data,Casi per 100.000 ab. in 7 giorni,Variazioni % in 7 giorni,Rt,,Settimana,Rt puntuale,calcolato al,,Regione,ShowCasi,Casi,,,
,,,,,,,,,,,,9-dic,226,-31.8,,7,dal 11/11 al 24/11,,,16,Piemonte,22.44772329,,,,
,,,,,,,,,,,,10-dic,197,-38.2,,7,dal 11/11 al 24/11,,,16,Piemonte,13.44248446,,,,
,,,,,,,,,,,,11-dic,184,-37.9,0.68,7,dal 18/11 al 1/12,0.64,25/11,16,Piemonte,9.40565326,,,,
,,,,,,,,,,,,12-dic,184,-34.4,,7,dal 18/11 al 1/12,,,16,Piemonte,9.40565326,,,,
,,,,,,,,,,,,13-dic,178,-32.4,,7,dal 18/11 al 1/12,,,16,Piemonte,7.542500398,,,,
,,,,,,,,,,,,14-dic,169,-34.1,,7,dal 18/11 al 1/12,,,16,Piemonte,4.747771107,,,,
,,,,,,,,,,,,15-dic,173,-28.5,,7,dal 18/11 al 1/12,,,16,Piemonte,5.989873014,,,,
,,,,,,,,,,,,16-dic,180,-20.6,,7,dal 18/11 al 1/12,,,16,Piemonte,8.163551352,,,,
,,,,,,,,,,,,17-dic,178,-10,,7,dal 18/11 al 1/12,,,16,Piemonte,7.542500398,,,,
,,,,,,,,,,,,18-dic,170,-7.8,0.68,7,dal 25/11 al 8/12,0.68,2/12,16,Piemonte,5.058296584,,,,
,,,,,,,,,,,,19-dic,151,-17.7,,7,dal 25/11 al 8/12,,,16,Piemonte,-0.841687477,,,,
,,,,,,,,,,,,20-dic,147,-17.3,,7,dal 25/11 al 8/12,,,16,Piemonte,-2.083789384,,,,
,,,,,,,,,,,,21-dic,149,-11.9,,7,dal 25/11 al 8/12,,,16,Piemonte,-1.46273843,,,,
,,,,,,,,,,,,22-dic,136,-21.2,,7,dal 25/11 al 8/12,,,16,Piemonte,-5.49956963,,,,
,,,,,,,,,,,,23-dic,130,-27.9,,7,dal 25/11 al 8/12,,,16,Piemonte,-7.362722491,,,,
,,,,,,,,,,,,24-dic,134,-24.8,0.68,7,dal 1/12 al 14/12,0.69,8/12,16,Piemonte,-6.120620583,,,,
,,,,,,,,,,,,25-dic,126,-25.8,,7,dal 1/12 al 14/12,,,16,Piemonte,-8.604824398,,,,
,,,,,,,,,,,,26-dic,121,-20.1,,7,dal 1/12 al 14/12,,,16,Piemonte,-10.15745178,,,,
,,,,,,,,,,,,27-dic,113,-23.5,,7,dal 1/12 al 14/12,,,16,Piemonte,-12.6416556,,,,
,,,,,,,,,,,,28-dic,106,-29,,7,dal 1/12 al 14/12,,,16,Piemonte,-14.81533394,,,,
,,,,,,,,,,,,29-dic,113,-17.3,,7,dal 1/12 al 14/12,,,16,Piemonte,-12.6416556,,,,
,,,,,,,,,,,,30-dic,115,-11.1,0.76,7,dal 8/12 al 21/12,0.71,15/12,16,Piemonte,-12.02060464,,,,
,,,,,,,,,,,,31-dic,122,-8.5,,7,dal 8/12 al 21/12,,,16,Piemonte,-9.846926306,,,,
,,,,,,,,,,,,1-gen,127,0.5,,7,dal 8/12 al 21/12,,,16,Piemonte,-8.294298921,,,,
,,,,,,,,,,,,2-gen,127,5,,7,dal 8/12 al 21/12,,,16,Piemonte,-8.294298921,,,,
,,,,,,,,,,,,3-gen,133,18.2,,7,dal 8/12 al 21/12,,,16,Piemonte,-6.43114606,,,,
,,,,,,,,,,,,4-gen,136,28.7,,7,dal 8/12 al 21/12,,,16,Piemonte,-5.49956963,,,,
,,,,,,,,,,,,5-gen,142,26.4,,7,dal 8/12 al 21/12,,,16,Piemonte,-3.636416769,,,,
,,,,,,,,,,,,6-gen,145,25.9,,7,dal 8/12 al 21/12,,,16,Piemonte,-2.704840338,,,,
,,,,,,,,,,,,7-gen,137,11.7,,7,dal 8/12 al 21/12,,,16,Piemonte,-5.189044153,,,,
,,,,,,,,,,,,8-gen,132,4.2,0.93,7,dal 15/12 al 28/12,0.95,22/12,16,Piemonte,-6.741671537,,,,
,,,,,,,,,,,,9-gen,157,23.8,,7,dal 15/12 al 28/12,,,16,Piemonte,1.021465384,,,,
,,,,,,,,,,,,10-gen,158,19,,7,dal 15/12 al 28/12,,,16,Piemonte,1.331990861,,,,
,,,,,,,,,,,,11-gen,162,19.1,,7,dal 15/12 al 28/12,,,16,Piemonte,2.574092769,,,,
,,,,,,,,,,,,12-gen,157,10.6,,7,dal 15/12 al 28/12,,,16,Piemonte,1.021465384,,,,
,,,,,,,,,,,,13-gen,154,6.1,,7,dal 15/12 al 28/12,,,16,Piemonte,0.089888954,,,,
,,,,,,,,,,,,14-gen,150,10.1,,7,dal 15/12 al 28/12,,,16,Piemonte,-1.152212954,,,,
,,,,,,,,,,,,15-gen,151,14.6,1.09,7,dal 23/12 al 5/1,1.14,30/12,16,Piemonte,-0.841687477,,,,
,,,,,,,,,,,,16-gen,140,-10.7,,7,dal 23/12 al 5/1,,,16,Piemonte,-4.257467722,,,,
,,,,,,,,,,,,17-gen,133,-16,,7,dal 23/12 al 5/1,,,16,Piemonte,-6.43114606,,,,
,,,,,,,,,,,,18-gen,129,-20.4,,7,dal 23/12 al 5/1,,,16,Piemonte,-7.673247968,,,,
,,,,,,,,,,,,19-gen,125,-20.7,,7,dal 23/12 al 5/1,,,16,Piemonte,-8.915349875,,,,
,,,,,,,,,,,,20-gen,116,-24.9,,7,dal 23/12 al 5/1,,,16,Piemonte,-11.71007917,,,,
,,,,,,,,,,,,21-gen,113,-24.6,,7,dal 23/12 al 5/1,,,16,Piemonte,-12.6416556,,,,
,,,,,,,,,,,,22-gen,113,-25.3,1.05,7,dal 30/12 al 12/1,1.04,6/1,16,Piemonte,-12.6416556,,,,
,,,,,,,,,,,,23-gen,110,-21.5,,7,dal 30/12 al 12/1,,,16,Piemonte,-13.57323203,,,,
,,,,,,,,,,,,24-gen,113,-15.2,,7,dal 30/12 al 12/1,,,16,Piemonte,-12.6416556,,,,
,,,,,,,,,,,,25-gen,117,-9.6,,7,dal 30/12 al 12/1,,,16,Piemonte,-11.39955369,,,,
,,,,,,,,,,,,26-gen,117,-6.3,,7,dal 30/12 al 12/1,,,16,Piemonte,-11.39955369,,,,
,,,,,,,,,,,,27-gen,122,5.4,,7,dal 30/12 al 12/1,,,16,Piemonte,-9.846926306,,,,
,,,,,,,,,,,,28-gen,129,13.6,,7,dal 30/12 al 12/1,,,16,Piemonte,-7.673247968,,,,
,,,,,,,,,,,,,,,,7,,,,16,,,,,,
,,,,,,,,,,,,,,,,7,,,,16,,,,,,
,,,,,,,,,,,,,,,,7,,,,16,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6,0.7,121.5,-60.75,121.5,-39.5,66.66666667,33.33333333,75.46583851,24.53416149,66.66666667,33.33333333,18-set,20,9.1,0.8,8,dal 27/8 al 9/9,,,10,Friuli VG,-53.43072289,121.5,,,
,,,,,,,,,,,,19-set,19,11.5,,8,dal 27/8 al 9/9,,,10,Friuli VG,-53.79668675,,,,
,,,,,,,,,,,,20-set,18,-6,,8,dal 27/8 al 9/9,,,10,Friuli VG,-54.1626506,,,,
,,,,,,,,,,,,21-set,19,0.9,,8,dal 27/8 al 9/9,,,10,Friuli VG,-53.79668675,,,,
,,,,,,,,,,,,22-set,18,-5.1,,8,dal 27/8 al 9/9,,,10,Friuli VG,-54.1626506,,,,
,,,,,,,,,,,,23-set,21,19.5,,8,dal 27/8 al 9/9,,,10,Friuli VG,-53.06475904,,,,
,,,,,,,,,,,,24-set,18,-7.7,,8,dal 27/8 al 9/9,,,10,Friuli VG,-54.1626506,,,,
,,,,,,,,,,,,25-set,18,-10.5,1.11,8,dal 3/9 al 16/9,,,10,Friuli VG,-54.1626506,,,,
,,,,,,,,,,,,26-set,19,0.9,,8,dal 3/9 al 16/9,,,10,Friuli VG,-53.79668675,,,,
,,,,,,,,,,,,27-set,19,5,,8,dal 3/9 al 16/9,,,10,Friuli VG,-53.79668675,,,,
,,,,,,,,,,,,28-set,18,-3.9,,8,dal 3/9 al 16/9,,,10,Friuli VG,-54.1626506,,,,
,,,,,,,,,,,,29-set,19,4.9,,8,dal 3/9 al 16/9,,,10,Friuli VG,-53.79668675,,,,
,,,,,,,,,,,,30-set,17,-18.3,,8,dal 3/9 al 16/9,,,10,Friuli VG,-54.52861446,,,,
,,,,,,,,,,,,1-ott,19,8.3,,8,dal 3/9 al 16/9,,,10,Friuli VG,-53.79668675,,,,
,,,,,,,,,,,,2-ott,22,22.9,1,8,dal 10/9 al 23/9,,,10,Friuli VG,-52.69879518,,,,
,,,,,,,,,,,,3-ott,21,10.6,,8,dal 10/9 al 23/9,,,10,Friuli VG,-53.06475904,,,,
,,,,,,,,,,,,4-ott,23,22.1,,8,dal 10/9 al 23/9,,,10,Friuli VG,-52.33283133,,,,
,,,,,,,,,,,,5-ott,25,36.8,,8,dal 10/9 al 23/9,,,10,Friuli VG,-51.60090361,,,,
,,,,,,,,,,,,6-ott,27,38.5,,8,dal 10/9 al 23/9,,,10,Friuli VG,-50.8689759,,,,
,,,,,,,,,,,,7-ott,30,79.5,,8,dal 10/9 al 23/9,,,10,Friuli VG,-49.77108434,,,,
,,,,,,,,,,,,8-ott,35,79.9,,8,dal 10/9 al 23/9,,,10,Friuli VG,-47.94126506,,,,
,,,,,,,,,,,,9-ott,41,90.5,1.09,8,dal 17/9 al 30/9,,,10,Friuli VG,-45.74548193,,,,
,,,,,,,,,,,,10-ott,47,121.5,,8,dal 17/9 al 30/9,,,10,Friuli VG,-43.5496988,,,,
,,,,,,,,,,,,11-ott,51,120.9,,8,dal 17/9 al 30/9,,,10,Friuli VG,-42.08584337,,,,
,,,,,,,,,,,,12-ott,54,119.6,,8,dal 17/9 al 30/9,,,10,Friuli VG,-40.98795181,,,,
,,,,,,,,,,,,13-ott,53,100,,8,dal 17/9 al 30/9,,,10,Friuli VG,-41.35391566,,,,
,,,,,,,,,,,,14-ott,62,106,,8,dal 17/9 al 30/9,,,10,Friuli VG,-38.06024096,,,,
,,,,,,,,,,,,15-ott,65,86.2,1.24,8,dal 24/9 al 7/10,,,10,Friuli VG,-36.9623494,,,,
,,,,,,,,,,,,16-ott,66,60.3,,8,dal 24/9 al 7/10,,,10,Friuli VG,-36.59638554,,,,
,,,,,,,,,,,,17-ott,69,46.5,,8,dal 24/9 al 7/10,,,10,Friuli VG,-35.49849398,,,,
,,,,,,,,,,,,18-ott,74,44.8,,8,dal 24/9 al 7/10,,,10,Friuli VG,-33.6686747,,,,
,,,,,,,,,,,,19-ott,77,41.1,,8,dal 24/9 al 7/10,,,10,Friuli VG,-32.57078313,,,,
,,,,,,,,,,,,20-ott,84,58.3,,8,dal 24/9 al 7/10,,,10,Friuli VG,-30.00903614,,,,
,,,,,,,,,,,,21-ott,87,40.2,,8,dal 24/9 al 7/10,,,10,Friuli VG,-28.91114458,,,,
,,,,,,,,,,,,22-ott,94,46.3,,8,dal 24/9 al 7/10,,,10,Friuli VG,-26.34939759,,,,
,,,,,,,,,,,,23-ott,109,64.6,1.38,8,dal 1/10 al 14/10,,,10,Friuli VG,-20.85993976,,,,
,,,,,,,,,,,,24-ott,129,85.7,,8,dal 1/10 al 14/10,,,10,Friuli VG,-13.54066265,,,,
,,,,,,,,,,,,25-ott,144,93.6,,8,dal 1/10 al 14/10,,,10,Friuli VG,-8.051204819,,,,
,,,,,,,,,,,,26-ott,164,113.3,,8,dal 1/10 al 14/10,,,10,Friuli VG,-0.731927711,,,,
,,,,,,,,,,,,27-ott,173,104.7,,8,dal 1/10 al 14/10,,,10,Friuli VG,2.561746988,,,,
,,,,,,,,,,,,28-ott,188,115.1,,8,dal 1/10 al 14/10,,,10,Friuli VG,8.051204819,,,,
,,,,,,,,,,,,29-ott,209,121,,8,dal 1/10 al 14/10,,,10,Friuli VG,15.73644578,,,,
,,,,,,,,,,,,30-ott,222,104.2,1.5,8,dal 8/10 al 21/10,,,10,Friuli VG,20.4939759,,,,
,,,,,,,,,,,,31-ott,248,92.3,,8,dal 8/10 al 21/10,,,10,Friuli VG,30.00903614,,,,
,,,,,,,,,,,,1-nov,254,76.6,,8,dal 8/10 al 21/10,,,10,Friuli VG,32.20481928,,,,
,,,,,,,,,,,,2-nov,244,49.1,,8,dal 8/10 al 21/10,,,10,Friuli VG,28.54518072,,,,
,,,,,,,,,,,,3-nov,254,47.2,,8,dal 8/10 al 21/10,,,10,Friuli VG,32.20481928,,,,
,,,,,,,,,,,,4-nov,257,36.5,,8,dal 8/10 al 21/10,,,10,Friuli VG,33.30271084,,,,
,,,,,,,,,,,,5-nov,263,26.2,,8,dal 8/10 al 21/10,1.47,14/10,10,Friuli VG,35.49849398,,,,
,,,,,,,,,,,,6-nov,266,19.9,,8,dal 8/10 al 21/10,,,10,Friuli VG,36.59638554,,,,
,,,,,,,,,,,,7-nov,278,12.2,,8,dal 8/10 al 21/10,,,10,Friuli VG,40.98795181,,,,
,,,,,,,,,,,,8-nov,287,13,,8,dal 8/10 al 21/10,,,10,Friuli VG,44.28162651,,,,
,,,,,,,,,,,,9-nov,295,20.9,1.6,8,dal 15/10 al 28/10,1.6,21/10,10,Friuli VG,47.20933735,,,,
,,,,,,,,,,,,10-nov,305,19.7,,8,dal 15/10 al 28/10,,,10,Friuli VG,50.8689759,,,,
,,,,,,,,,,,,11-nov,316,22.9,,8,dal 15/10 al 28/10,,,10,Friuli VG,54.89457831,,,,
,,,,,,,,,,,,12-nov,340,29.1,,8,dal 15/10 al 28/10,,,10,Friuli VG,63.67771084,,,,
,,,,,,,,,,,,13-nov,364,36.5,1.47,8,dal 22/10 al 4/11,1.42,28/10,10,Friuli VG,72.46084337,,,,
,,,,,,,,,,,,14-nov,338,21.3,,8,dal 22/10 al 4/11,,,10,Friuli VG,62.94578313,,,,
,,,,,,,,,,,,15-nov,346,20.8,,8,dal 22/10 al 4/11,,,10,Friuli VG,65.87349398,,,,
,,,,,,,,,,,,16-nov,358,21.2,,8,dal 22/10 al 4/11,,,10,Friuli VG,70.26506024,,,,
,,,,,,,,,,,,17-nov,362,18.8,,8,dal 22/10 al 4/11,,,10,Friuli VG,71.72891566,,,,
,,,,,,,,,,,,18-nov,380,20.5,,8,dal 22/10 al 4/11,,,10,Friuli VG,78.31626506,,,,
,,,,,,,,,,,,19-nov,410,20.6,,8,dal 22/10 al 4/11,,,10,Friuli VG,89.29518072,,,,
,,,,,,,,,,,,20-nov,425,17,1.29,8,dal 28/10 al 10/11,1.27,4/11,10,Friuli VG,94.78463855,,,,
,,,,,,,,,,,,21-nov,465,37.7,,8,dal 28/10 al 10/11,,,10,Friuli VG,109.4231928,,,,
,,,,,,,,,,,,22-nov,471,35.9,,8,dal 28/10 al 10/11,,,10,Friuli VG,111.6189759,,,,
,,,,,,,,,,,,23-nov,464,29.9,,8,dal 28/10 al 10/11,,,10,Friuli VG,109.0572289,,,,
,,,,,,,,,,,,24-nov,466,28.7,,8,dal 28/10 al 10/11,,,10,Friuli VG,109.7891566,,,,
,,,,,,,,,,,,25-nov,458,20.3,,8,dal 28/10 al 10/11,,,10,Friuli VG,106.8614458,,,,
,,,,,,,,,,,,26-nov,426,3.9,,8,dal 28/10 al 10/11,,,10,Friuli VG,95.15060241,,,,
,,,,,,,,,,,,27-nov,413,-2.8,1.17,8,dal 4/11 al 17/11,1.09,11/11,10,Friuli VG,90.39307229,,,,
,,,,,,,,,,,,28-nov,445,-4.3,,8,dal 4/11 al 17/11,,,10,Friuli VG,102.1039157,,,,
,,,,,,,,,,,,29-nov,446,-5.3,,8,dal 4/11 al 17/11,,,10,Friuli VG,102.4698795,,,,
,,,,,,,,,,,,30-nov,462,-0.5,,8,dal 4/11 al 17/11,,,10,Friuli VG,108.3253012,,,,
,,,,,,,,,,,,1-dic,477,2.4,,8,dal 4/11 al 17/11,,,10,Friuli VG,113.814759,,,,
,,,,,,,,,,,,2-dic,487,6.3,,8,dal 4/11 al 17/11,,,10,Friuli VG,117.4743976,,,,
,,,,,,,,,,,,3-dic,483,13.4,,8,dal 4/11 al 17/11,,,10,Friuli VG,116.0105422,,,,
,,,,,,,,,,,,4-dic,498,20.4,1.03,8,dal 11/11 al 24/11,0.92,18/11,10,Friuli VG,121.5,,,,
,,,,,,,,,,,,5-dic,442,-0.8,,8,dal 11/11 al 24/11,,,10,Friuli VG,101.0060241,,,,
,,,,,,,,,,,,6-dic,444,-0.5,,8,dal 11/11 al 24/11,,,10,Friuli VG,101.7379518,,,,
,,,,,,,,,,,,7-dic,426,-7.8,,8,dal 11/11 al 24/11,,,10,Friuli VG,95.15060241,,,,
,,,,,,,,,,,,8-dic,420,-12.1,,8,dal 11/11 al 24/11,,,10,Friuli VG,92.95481928,,,,
,,,,,,,,,,,,9-dic,405,-16.8,,8,dal 11/11 al 24/11,,,10,Friuli VG,87.46536145,,,,
,,,,,,,,,,,,10-dic,397,-17.9,,8,dal 11/11 al 24/11,,,10,Friuli VG,84.5376506,,,,
,,,,,,,,,,,,11-dic,380,-23.6,0.91,8,dal 18/11 al 1/12,0.97,25/11,10,Friuli VG,78.31626506,,,,
,,,,,,,,,,,,12-dic,391,-11.5,,8,dal 18/11 al 1/12,,,10,Friuli VG,82.34186747,,,,
,,,,,,,,,,,,13-dic,380,-14.3,,8,dal 18/11 al 1/12,,,10,Friuli VG,78.31626506,,,,
,,,,,,,,,,,,14-dic,384,-9.9,,8,dal 18/11 al 1/12,,,10,Friuli VG,79.78012048,,,,
,,,,,,,,,,,,15-dic,398,-5.1,,8,dal 18/11 al 1/12,,,10,Friuli VG,84.90361446,,,,
,,,,,,,,,,,,16-dic,410,1.3,,8,dal 18/11 al 1/12,,,10,Friuli VG,89.29518072,,,,
,,,,,,,,,,,,17-dic,413,4.1,,8,dal 18/11 al 1/12,,,10,Friuli VG,90.39307229,,,,
,,,,,,,,,,,,18-dic,405,6.6,0.78,8,dal 25/11 al 8/12,0.7,2/12,10,Friuli VG,87.46536145,,,,
,,,,,,,,,,,,19-dic,413,5.6,,8,dal 25/11 al 8/12,,,10,Friuli VG,90.39307229,,,,
,,,,,,,,,,,,20-dic,420,10.4,,8,dal 25/11 al 8/12,,,10,Friuli VG,92.95481928,,,,
,,,,,,,,,,,,21-dic,407,6,,8,dal 25/11 al 8/12,,,10,Friuli VG,88.19728916,,,,
,,,,,,,,,,,,22-dic,384,-3.6,,8,dal 25/11 al 8/12,,,10,Friuli VG,79.78012048,,,,
,,,,,,,,,,,,23-dic,362,-11.7,,8,dal 25/11 al 8/12,,,10,Friuli VG,71.72891566,,,,
,,,,,,,,,,,,24-dic,372,-9.9,0.8,8,dal 1/12 al 14/12,0.78,8/12,10,Friuli VG,75.38855422,,,,
,,,,,,,,,,,,25-dic,358,-11.7,,8,dal 1/12 al 14/12,,,10,Friuli VG,70.26506024,,,,
,,,,,,,,,,,,26-dic,296,-28.2,,8,dal 1/12 al 14/12,,,10,Friuli VG,47.5753012,,,,
,,,,,,,,,,,,27-dic,254,-39.5,,8,dal 1/12 al 14/12,,,10,Friuli VG,32.20481928,,,,
,,,,,,,,,,,,28-dic,249,-38.7,,8,dal 1/12 al 14/12,,,10,Friuli VG,30.375,,,,
,,,,,,,,,,,,29-dic,245,-36.2,,8,dal 1/12 al 14/12,,,10,Friuli VG,28.91114458,,,,
,,,,,,,,,,,,30-dic,269,-25.7,0.9,8,dal 8/12 al 21/12,0.96,15/12,10,Friuli VG,37.69427711,,,,
,,,,,,,,,,,,31-dic,273,-26.7,,8,dal 8/12 al 21/12,,,10,Friuli VG,39.15813253,,,,
,,,,,,,,,,,,1-gen,283,-20.9,,8,dal 8/12 al 21/12,,,10,Friuli VG,42.81777108,,,,
,,,,,,,,,,,,2-gen,294,-0.7,,8,dal 8/12 al 21/12,,,10,Friuli VG,46.84337349,,,,
,,,,,,,,,,,,3-gen,299,17.7,,8,dal 8/12 al 21/12,,,10,Friuli VG,48.67319277,,,,
,,,,,,,,,,,,4-gen,307,23,,8,dal 8/12 al 21/12,,,10,Friuli VG,51.60090361,,,,
,,,,,,,,,,,,5-gen,323,31.9,,8,dal 8/12 al 21/12,,,10,Friuli VG,57.4563253,,,,
,,,,,,,,,,,,6-gen,339,26.2,,8,dal 8/12 al 21/12,,,10,Friuli VG,63.31174699,,,,
,,,,,,,,,,,,7-gen,322,18.2,,8,dal 8/12 al 21/12,,,10,Friuli VG,57.09036145,,,,
,,,,,,,,,,,,8-gen,315,11.4,1,8,dal 15/12 al 28/12,0.91,22/12,10,Friuli VG,54.52861446,,,,
,,,,,,,,,,,,9-gen,369,25.5,,8,dal 15/12 al 28/12,,,10,Friuli VG,74.29066265,,,,
,,,,,,,,,,,,10-gen,406,35.7,,8,dal 15/12 al 28/12,,,10,Friuli VG,87.8313253,,,,
,,,,,,,,,,,,11-gen,412,34.4,,8,dal 15/12 al 28/12,,,10,Friuli VG,90.02710843,,,,
,,,,,,,,,,,,12-gen,409,26.7,,8,dal 15/12 al 28/12,,,10,Friuli VG,88.92921687,,,,
,,,,,,,,,,,,13-gen,372,9.5,,8,dal 15/12 al 28/12,,,10,Friuli VG,75.38855422,,,,
,,,,,,,,,,,,14-gen,383,18.7,,8,dal 15/12 al 28/12,,,10,Friuli VG,79.41415663,,,,
,,,,,,,,,,,,15-gen,406,28.7,0.93,8,dal 23/12 al 5/1,0.94,30/12,10,Friuli VG,87.8313253,,,,
,,,,,,,,,,,,16-gen,394,6.7,,8,dal 23/12 al 5/1,,,10,Friuli VG,83.43975904,,,,
,,,,,,,,,,,,17-gen,373,-8.1,,8,dal 23/12 al 5/1,,,10,Friuli VG,75.75451807,,,,
,,,,,,,,,,,,18-gen,356,-13.7,,8,dal 23/12 al 5/1,,,10,Friuli VG,69.53313253,,,,
,,,,,,,,,,,,19-gen,340,-16.9,,8,dal 23/12 al 5/1,,,10,Friuli VG,63.67771084,,,,
,,,,,,,,,,,,20-gen,350,-5.7,,8,dal 23/12 al 5/1,,,10,Friuli VG,67.3373494,,,,
,,,,,,,,,,,,21-gen,338,-11.6,,8,dal 23/12 al 5/1,,,10,Friuli VG,62.94578313,,,,
,,,,,,,,,,,,22-gen,300,-26.2,0.89,8,dal 30/12 al 12/1,0.88,6/1,10,Friuli VG,49.03915663,,,,
,,,,,,,,,,,,23-gen,284,-27.9,,8,dal 30/12 al 12/1,,,10,Friuli VG,43.18373494,,,,
,,,,,,,,,,,,24-gen,294,-21.2,,8,dal 30/12 al 12/1,,,10,Friuli VG,46.84337349,,,,
,,,,,,,,,,,,25-gen,296,-16.8,,8,dal 30/12 al 12/1,,,10,Friuli VG,47.5753012,,,,
,,,,,,,,,,,,26-gen,294,-13.7,,8,dal 30/12 al 12/1,,,10,Friuli VG,46.84337349,,,,
,,,,,,,,,,,,27-gen,286,-18.3,,8,dal 30/12 al 12/1,,,10,Friuli VG,43.91566265,,,,
,,,,,,,,,,,,28-gen,285,-15.7,,8,dal 30/12 al 12/1,,,10,Friuli VG,43.5496988,,,,
,,,,,,,,,,,,,,,,8,,,,10,,,,,,
,,,,,,,,,,,,,,,,8,,,,10,,,,,,
,,,,,,,,,,,,,,,,8,,,,10,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2.37,0.57,344.4,-108.0963504,344.4,-54.3,76.11111111,23.88888889,86.3807374,13.6192626,76.11111111,23.88888889,18-set,15,137.5,0.61,9,dal 27/8 al 9/9,,,24,Valle d'Aosta,-100.4182449,344.4,,,
,,,,,,,,,,,,19-set,14,100,,9,dal 27/8 al 9/9,,,24,Valle d'Aosta,-100.9301186,,,,
,,,,,,,,,,,,20-set,15,72.7,,9,dal 27/8 al 9/9,,,24,Valle d'Aosta,-100.4182449,,,,
,,,,,,,,,,,,21-set,14,28.6,,9,dal 27/8 al 9/9,,,24,Valle d'Aosta,-100.9301186,,,,
,,,,,,,,,,,,22-set,13,33.3,,9,dal 27/8 al 9/9,,,24,Valle d'Aosta,-101.4419923,,,,
,,,,,,,,,,,,23-set,14,30.8,,9,dal 27/8 al 9/9,,,24,Valle d'Aosta,-100.9301186,,,,
,,,,,,,,,,,,24-set,15,35.7,,9,dal 27/8 al 9/9,,,24,Valle d'Aosta,-100.4182449,,,,
,,,,,,,,,,,,25-set,10,-36.8,0.59,9,dal 3/9 al 16/9,,,24,Valle d'Aosta,-102.9776134,,,,
,,,,,,,,,,,,26-set,18,27.8,,9,dal 3/9 al 16/9,,,24,Valle d'Aosta,-98.88262377,,,,
,,,,,,,,,,,,27-set,16,5.3,,9,dal 3/9 al 16/9,,,24,Valle d'Aosta,-99.90637117,,,,
,,,,,,,,,,,,28-set,15,5.6,,9,dal 3/9 al 16/9,,,24,Valle d'Aosta,-100.4182449,,,,
,,,,,,,,,,,,29-set,21,62.5,,9,dal 3/9 al 16/9,,,24,Valle d'Aosta,-97.34700268,,,,
,,,,,,,,,,,,30-set,24,76.5,,9,dal 3/9 al 16/9,,,24,Valle d'Aosta,-95.81138158,,,,
,,,,,,,,,,,,1-ott,22,47.4,,9,dal 3/9 al 16/9,,,24,Valle d'Aosta,-96.83512898,,,,
,,,,,,,,,,,,2-ott,30,216.7,0.97,9,dal 10/9 al 23/9,,,24,Valle d'Aosta,-92.74013938,,,,
,,,,,,,,,,,,3-ott,21,17.4,,9,dal 10/9 al 23/9,,,24,Valle d'Aosta,-97.34700268,,,,
,,,,,,,,,,,,4-ott,27,70,,9,dal 10/9 al 23/9,,,24,Valle d'Aosta,-94.27576048,,,,
,,,,,,,,,,,,5-ott,37,142.1,,9,dal 10/9 al 23/9,,,24,Valle d'Aosta,-89.15702348,,,,
,,,,,,,,,,,,6-ott,34,65.4,,9,dal 10/9 al 23/9,,,24,Valle d'Aosta,-90.69264458,,,,
,,,,,,,,,,,,7-ott,41,73.3,,9,dal 10/9 al 23/9,,,24,Valle d'Aosta,-87.10952869,,,,
,,,,,,,,,,,,8-ott,55,146.4,,9,dal 10/9 al 23/9,,,24,Valle d'Aosta,-79.94329689,,,,
,,,,,,,,,,,,9-ott,60,100,1.09,9,dal 17/9 al 30/9,,,24,Valle d'Aosta,-77.38392839,,,,
,,,,,,,,,,,,10-ott,95,344.4,,9,dal 17/9 al 30/9,,,24,Valle d'Aosta,-59.46834891,,,,
,,,,,,,,,,,,11-ott,104,285.3,,9,dal 17/9 al 30/9,,,24,Valle d'Aosta,-54.86148562,,,,
,,,,,,,,,,,,12-ott,119,226.1,,9,dal 17/9 al 30/9,,,24,Valle d'Aosta,-47.18338012,,,,
,,,,,,,,,,,,13-ott,142,314,,9,dal 17/9 al 30/9,,,24,Valle d'Aosta,-35.41028503,,,,
,,,,,,,,,,,,14-ott,159,284.6,,9,dal 17/9 al 30/9,,,24,Valle d'Aosta,-26.70843214,,,,
,,,,,,,,,,,,15-ott,198,260.9,1.53,9,dal 24/9 al 7/10,,,24,Valle d'Aosta,-6.745357862,,,,
,,,,,,,,,,,,16-ott,205,239.5,,9,dal 24/9 al 7/10,,,24,Valle d'Aosta,-3.162241966,,,,
,,,,,,,,,,,,17-ott,232,143.3,,9,dal 24/9 al 7/10,,,24,Valle d'Aosta,10.65834792,,,,
,,,,,,,,,,,,18-ott,276,164.9,,9,dal 24/9 al 7/10,,,24,Valle d'Aosta,33.1807907,,,,
,,,,,,,,,,,,19-ott,358,200,,9,dal 24/9 al 7/10,,,24,Valle d'Aosta,75.15443406,,,,
,,,,,,,,,,,,20-ott,392,176.4,,9,dal 24/9 al 7/10,,,24,Valle d'Aosta,92.55813984,,,,
,,,,,,,,,,,,21-ott,450,183,,9,dal 24/9 al 7/10,,,24,Valle d'Aosta,122.2468144,,,,
,,,,,,,,,,,,22-ott,466,135.3,,9,dal 24/9 al 7/10,,,24,Valle d'Aosta,130.4367936,,,,
