Data,,,Regione,Provincia,Abitanti,Incidenza,PLLANC,PLLAC,SOGLIA
13-feb,1,0,Lombardia,Bergamo,1114590,78,66,88,154
14-feb,2,0,Lombardia,Bergamo,1114590,88,66,88,154
15-feb,3,0,Lombardia,Bergamo,1114590,89,66,88,154
16-feb,4,0,Lombardia,Bergamo,1114590,91,65,87,152
17-feb,5,0,Lombardia,Bergamo,1114590,90,65,88,153
18-feb,6,0,Lombardia,Bergamo,1114590,93,65,87,152
19-feb,7,0,Lombardia,Bergamo,1114590,99,65,87,152
13-feb,1,1,Lombardia,Brescia,1265954,241,66,88,154
14-feb,2,1,Lombardia,Brescia,1265954,256,66,88,154
15-feb,3,1,Lombardia,Brescia,1265954,267,66,88,154
16-feb,4,1,Lombardia,Brescia,1265954,271,65,87,152
17-feb,5,1,Lombardia,Brescia,1265954,277,65,88,153
18-feb,6,1,Lombardia,Brescia,1265954,259,65,87,152
19-feb,7,1,Lombardia,Brescia,1265954,275,65,87,152
13-feb,1,2,Lombardia,Como,599204,144,66,88,154
14-feb,2,2,Lombardia,Como,599204,145,66,88,154
15-feb,3,2,Lombardia,Como,599204,144,66,88,154
16-feb,4,2,Lombardia,Como,599204,139,65,87,152
17-feb,5,2,Lombardia,Como,599204,138,65,88,153
18-feb,6,2,Lombardia,Como,599204,152,65,87,152
19-feb,7,2,Lombardia,Como,599204,166,65,87,152
13-feb,1,3,Lombardia,Cremona,358955,92,66,88,154
14-feb,2,3,Lombardia,Cremona,358955,92,66,88,154
15-feb,3,3,Lombardia,Cremona,358955,93,66,88,154
16-feb,4,3,Lombardia,Cremona,358955,101,65,87,152
17-feb,5,3,Lombardia,Cremona,358955,99,65,88,153
18-feb,6,3,Lombardia,Cremona,358955,109,65,87,152
19-feb,7,3,Lombardia,Cremona,358955,118,65,87,152
13-feb,1,4,Lombardia,Lecco,337380,135,66,88,154
14-feb,2,4,Lombardia,Lecco,337380,134,66,88,154
15-feb,3,4,Lombardia,Lecco,337380,129,66,88,154
16-feb,4,4,Lombardia,Lecco,337380,135,65,87,152
17-feb,5,4,Lombardia,Lecco,337380,130,65,88,153
18-feb,6,4,Lombardia,Lecco,337380,125,65,87,152
19-feb,7,4,Lombardia,Lecco,337380,135,65,87,152
13-feb,1,5,Lombardia,Lodi,230198,114,66,88,154
14-feb,2,5,Lombardia,Lodi,230198,108,66,88,154
15-feb,3,5,Lombardia,Lodi,230198,108,66,88,154
16-feb,4,5,Lombardia,Lodi,230198,107,65,87,152
17-feb,5,5,Lombardia,Lodi,230198,99,65,88,153
18-feb,6,5,Lombardia,Lodi,230198,100,65,87,152
19-feb,7,5,Lombardia,Lodi,230198,96,65,87,152
13-feb,1,6,Lombardia,Monza B.,873935,118,66,88,154
14-feb,2,6,Lombardia,Monza B.,873935,130,66,88,154
15-feb,3,6,Lombardia,Monza B.,873935,125,66,88,154
16-feb,4,6,Lombardia,Monza B.,873935,122,65,87,152
17-feb,5,6,Lombardia,Monza B.,873935,118,65,88,153
18-feb,6,6,Lombardia,Monza B.,873935,112,65,87,152
19-feb,7,6,Lombardia,Monza B.,873935,141,65,87,152
13-feb,1,7,Lombardia,Milano,3250315,102,66,88,154
14-feb,2,7,Lombardia,Milano,3250315,106,66,88,154
15-feb,3,7,Lombardia,Milano,3250315,105,66,88,154
16-feb,4,7,Lombardia,Milano,3250315,106,65,87,152
17-feb,5,7,Lombardia,Milano,3250315,108,65,88,153
18-feb,6,7,Lombardia,Milano,3250315,113,65,87,152
19-feb,7,7,Lombardia,Milano,3250315,118,65,87,152
13-feb,1,8,Lombardia,Mantova,412292,150,66,88,154
14-feb,2,8,Lombardia,Mantova,412292,142,66,88,154
15-feb,3,8,Lombardia,Mantova,412292,141,66,88,154
16-feb,4,8,Lombardia,Mantova,412292,148,65,87,152
17-feb,5,8,Lombardia,Mantova,412292,147,65,88,153
18-feb,6,8,Lombardia,Mantova,412292,147,65,87,152
19-feb,7,8,Lombardia,Mantova,412292,157,65,87,152
13-feb,1,9,Lombardia,Pavia,545888,130,66,88,154
14-feb,2,9,Lombardia,Pavia,545888,132,66,88,154
15-feb,3,9,Lombardia,Pavia,545888,131,66,88,154
16-feb,4,9,Lombardia,Pavia,545888,127,65,87,152
17-feb,5,9,Lombardia,Pavia,545888,130,65,88,153
18-feb,6,9,Lombardia,Pavia,545888,127,65,87,152
19-feb,7,9,Lombardia,Pavia,545888,128,65,87,152
13-feb,1,10,Lombardia,Sondrio,181095,94,66,88,154
14-feb,2,10,Lombardia,Sondrio,181095,104,66,88,154
15-feb,3,10,Lombardia,Sondrio,181095,104,66,88,154
16-feb,4,10,Lombardia,Sondrio,181095,106,65,87,152
17-feb,5,10,Lombardia,Sondrio,181095,104,65,88,153
18-feb,6,10,Lombardia,Sondrio,181095,87,65,87,152
19-feb,7,10,Lombardia,Sondrio,181095,95,65,87,152
13-feb,1,11,Lombardia,Varese,890768,125,66,88,154
14-feb,2,11,Lombardia,Varese,890768,122,66,88,154
15-feb,3,11,Lombardia,Varese,890768,121,66,88,154
16-feb,4,11,Lombardia,Varese,890768,113,65,87,152
17-feb,5,11,Lombardia,Varese,890768,98,65,88,153
18-feb,6,11,Lombardia,Varese,890768,114,65,87,152
19-feb,7,11,Lombardia,Varese,890768,150,65,87,152
13-feb,1,14,Emilia Romagna,Piacenza,287152,141,95,132,227
14-feb,2,14,Emilia Romagna,Piacenza,287152,135,94,132,226
15-feb,3,14,Emilia Romagna,Piacenza,287152,142,93,131,224
16-feb,4,14,Emilia Romagna,Piacenza,287152,136,93,131,224
17-feb,5,14,Emilia Romagna,Piacenza,287152,134,94,130,224
18-feb,6,14,Emilia Romagna,Piacenza,287152,138,95,129,224
19-feb,7,14,Emilia Romagna,Piacenza,287152,132,94,129,223
13-feb,1,15,Emilia Romagna,Parma,451631,126,95,132,227
14-feb,2,15,Emilia Romagna,Parma,451631,126,94,132,226
15-feb,3,15,Emilia Romagna,Parma,451631,125,93,131,224
16-feb,4,15,Emilia Romagna,Parma,451631,133,93,131,224
17-feb,5,15,Emilia Romagna,Parma,451631,134,94,130,224
18-feb,6,15,Emilia Romagna,Parma,451631,141,95,129,224
19-feb,7,15,Emilia Romagna,Parma,451631,131,94,129,223
13-feb,1,16,Emilia Romagna,Reggio E.,531891,138,95,132,227
14-feb,2,16,Emilia Romagna,Reggio E.,531891,139,94,132,226
15-feb,3,16,Emilia Romagna,Reggio E.,531891,135,93,131,224
16-feb,4,16,Emilia Romagna,Reggio E.,531891,135,93,131,224
17-feb,5,16,Emilia Romagna,Reggio E.,531891,146,94,130,224
18-feb,6,16,Emilia Romagna,Reggio E.,531891,152,95,129,224
19-feb,7,16,Emilia Romagna,Reggio E.,531891,165,94,129,223
13-feb,1,17,Emilia Romagna,Modena,705393,207,95,132,227
14-feb,2,17,Emilia Romagna,Modena,705393,204,94,132,226
15-feb,3,17,Emilia Romagna,Modena,705393,208,93,131,224
16-feb,4,17,Emilia Romagna,Modena,705393,214,93,131,224
17-feb,5,17,Emilia Romagna,Modena,705393,213,94,130,224
18-feb,6,17,Emilia Romagna,Modena,705393,215,95,129,224
19-feb,7,17,Emilia Romagna,Modena,705393,220,94,129,223
13-feb,1,18,Emilia Romagna,Bologna,1014619,245,95,132,227
14-feb,2,18,Emilia Romagna,Bologna,1014619,250,94,132,226
15-feb,3,18,Emilia Romagna,Bologna,1014619,262,93,131,224
16-feb,4,18,Emilia Romagna,Bologna,1014619,258,93,131,224
17-feb,5,18,Emilia Romagna,Bologna,1014619,262,94,130,224
18-feb,6,18,Emilia Romagna,Bologna,1014619,276,95,129,224
19-feb,7,18,Emilia Romagna,Bologna,1014619,296,94,129,223
13-feb,1,19,Emilia Romagna,Ferrara,345691,157,95,132,227
14-feb,2,19,Emilia Romagna,Ferrara,345691,152,94,132,226
15-feb,3,19,Emilia Romagna,Ferrara,345691,141,93,131,224
16-feb,4,19,Emilia Romagna,Ferrara,345691,144,93,131,224
17-feb,5,19,Emilia Romagna,Ferrara,345691,137,94,130,224
18-feb,6,19,Emilia Romagna,Ferrara,345691,124,95,129,224
19-feb,7,19,Emilia Romagna,Ferrara,345691,129,94,129,223
13-feb,1,20,Emilia Romagna,Ravenna,389456,164,95,132,227
14-feb,2,20,Emilia Romagna,Ravenna,389456,160,94,132,226
15-feb,3,20,Emilia Romagna,Ravenna,389456,162,93,131,224
16-feb,4,20,Emilia Romagna,Ravenna,389456,166,93,131,224
17-feb,5,20,Emilia Romagna,Ravenna,389456,174,94,130,224
18-feb,6,20,Emilia Romagna,Ravenna,389456,180,95,129,224
19-feb,7,20,Emilia Romagna,Ravenna,389456,191,94,129,223
13-feb,1,21,Emilia Romagna,Forlì CE,394627,233,95,132,227
14-feb,2,21,Emilia Romagna,Forlì CE,394627,238,94,132,226
15-feb,3,21,Emilia Romagna,Forlì CE,394627,245,93,131,224
16-feb,4,21,Emilia Romagna,Forlì CE,394627,239,93,131,224
17-feb,5,21,Emilia Romagna,Forlì CE,394627,239,94,130,224
18-feb,6,21,Emilia Romagna,Forlì CE,394627,246,95,129,224
19-feb,7,21,Emilia Romagna,Forlì CE,394627,241,94,129,223
13-feb,1,22,Emilia Romagna,Rimini,339017,301,95,132,227
14-feb,2,22,Emilia Romagna,Rimini,339017,286,94,132,226
15-feb,3,22,Emilia Romagna,Rimini,339017,278,93,131,224
16-feb,4,22,Emilia Romagna,Rimini,339017,268,93,131,224
17-feb,5,22,Emilia Romagna,Rimini,339017,265,94,130,224
18-feb,6,22,Emilia Romagna,Rimini,339017,263,95,129,224
19-feb,7,22,Emilia Romagna,Rimini,339017,263,94,129,223
13-feb,1,25,Veneto,Padova,937908,113,103,181,284
14-feb,2,25,Veneto,Padova,937908,107,103,181,284
15-feb,3,25,Veneto,Padova,937908,106,103,182,285
16-feb,4,25,Veneto,Padova,937908,101,104,183,287
17-feb,5,25,Veneto,Padova,937908,91,104,184,288
18-feb,6,25,Veneto,Padova,937908,103,105,184,289
19-feb,7,25,Veneto,Padova,937908,107,106,184,290
13-feb,1,26,Veneto,Venezia,853338,97,103,181,284
14-feb,2,26,Veneto,Venezia,853338,103,103,181,284
15-feb,3,26,Veneto,Venezia,853338,92,103,182,285
16-feb,4,26,Veneto,Venezia,853338,91,104,183,287
17-feb,5,26,Veneto,Venezia,853338,87,104,184,288
18-feb,6,26,Veneto,Venezia,853338,91,105,184,289
19-feb,7,26,Veneto,Venezia,853338,91,106,184,290
13-feb,1,27,Veneto,Rovigo,234937,93,103,181,284
14-feb,2,27,Veneto,Rovigo,234937,97,103,181,284
15-feb,3,27,Veneto,Rovigo,234937,100,103,182,285
16-feb,4,27,Veneto,Rovigo,234937,94,104,183,287
17-feb,5,27,Veneto,Rovigo,234937,78,104,184,288
18-feb,6,27,Veneto,Rovigo,234937,84,105,184,289
19-feb,7,27,Veneto,Rovigo,234937,77,106,184,290
13-feb,1,28,Veneto,Vicenza,862418,90,103,181,284
14-feb,2,28,Veneto,Vicenza,862418,90,103,181,284
15-feb,3,28,Veneto,Vicenza,862418,83,103,182,285
16-feb,4,28,Veneto,Vicenza,862418,81,104,183,287
17-feb,5,28,Veneto,Vicenza,862418,81,104,184,288
18-feb,6,28,Veneto,Vicenza,862418,89,105,184,289
19-feb,7,28,Veneto,Vicenza,862418,86,106,184,290
13-feb,1,29,Veneto,Verona,926497,71,103,181,284
14-feb,2,29,Veneto,Verona,926497,72,103,181,284
15-feb,3,29,Veneto,Verona,926497,72,103,182,285
16-feb,4,29,Veneto,Verona,926497,70,104,183,287
17-feb,5,29,Veneto,Verona,926497,68,104,184,288
18-feb,6,29,Veneto,Verona,926497,74,105,184,289
19-feb,7,29,Veneto,Verona,926497,72,106,184,290
13-feb,1,30,Veneto,Belluno,202950,98,103,181,284
14-feb,2,30,Veneto,Belluno,202950,107,103,181,284
15-feb,3,30,Veneto,Belluno,202950,103,103,182,285
16-feb,4,30,Veneto,Belluno,202950,103,104,183,287
17-feb,5,30,Veneto,Belluno,202950,102,104,184,288
18-feb,6,30,Veneto,Belluno,202950,115,105,184,289
19-feb,7,30,Veneto,Belluno,202950,115,106,184,290
13-feb,1,31,Veneto,Treviso,887806,93,103,181,284
14-feb,2,31,Veneto,Treviso,887806,92,103,181,284
15-feb,3,31,Veneto,Treviso,887806,88,103,182,285
16-feb,4,31,Veneto,Treviso,887806,91,104,183,287
17-feb,5,31,Veneto,Treviso,887806,75,104,184,288
18-feb,6,31,Veneto,Treviso,887806,82,105,184,289
19-feb,7,31,Veneto,Treviso,887806,74,106,184,290
13-feb,1,34,Marche,Ancona,471228,268,42,104,146
14-feb,2,34,Marche,Ancona,471228,274,41,100,141
15-feb,3,34,Marche,Ancona,471228,277,42,98,140
16-feb,4,34,Marche,Ancona,471228,265,42,100,142
17-feb,5,34,Marche,Ancona,471228,272,42,102,144
18-feb,6,34,Marche,Ancona,471228,277,43,101,144
19-feb,7,34,Marche,Ancona,471228,285,43,99,142
13-feb,1,35,Marche,Pesaro,358886,149,42,104,146
14-feb,2,35,Marche,Pesaro,358886,138,41,100,141
15-feb,3,35,Marche,Pesaro,358886,137,42,98,140
16-feb,4,35,Marche,Pesaro,358886,144,42,100,142
17-feb,5,35,Marche,Pesaro,358886,145,42,102,144
18-feb,6,35,Marche,Pesaro,358886,135,43,101,144
19-feb,7,35,Marche,Pesaro,358886,130,43,99,142
13-feb,1,36,Marche,Macerata,314178,157,42,104,146
14-feb,2,36,Marche,Macerata,314178,153,41,100,141
15-feb,3,36,Marche,Macerata,314178,142,42,98,140
16-feb,4,36,Marche,Macerata,314178,151,42,100,142
17-feb,5,36,Marche,Macerata,314178,149,42,102,144
18-feb,6,36,Marche,Macerata,314178,156,43,101,144
19-feb,7,36,Marche,Macerata,314178,144,43,99,142
13-feb,1,37,Marche,Fermo,173800,87,42,104,146
14-feb,2,37,Marche,Fermo,173800,76,41,100,141
15-feb,3,37,Marche,Fermo,173800,64,42,98,140
16-feb,4,37,Marche,Fermo,173800,64,42,100,142
17-feb,5,37,Marche,Fermo,173800,67,42,102,144
18-feb,6,37,Marche,Fermo,173800,72,43,101,144
19-feb,7,37,Marche,Fermo,173800,74,43,99,142
13-feb,1,38,Marche,Ascoli P.,207179,84,42,104,146
14-feb,2,38,Marche,Ascoli P.,207179,88,41,100,141
15-feb,3,38,Marche,Ascoli P.,207179,88,42,98,140
16-feb,4,38,Marche,Ascoli P.,207179,91,42,100,142
17-feb,5,38,Marche,Ascoli P.,207179,92,42,102,144
18-feb,6,38,Marche,Ascoli P.,207179,80,43,101,144
19-feb,7,38,Marche,Ascoli P.,207179,67,43,99,142
13-feb,1,41,Piemonte,Alessandria,421284,101,91,112,203
14-feb,2,41,Piemonte,Alessandria,421284,103,90,112,202
15-feb,3,41,Piemonte,Alessandria,421284,90,90,111,201
16-feb,4,41,Piemonte,Alessandria,421284,78,90,112,202
17-feb,5,41,Piemonte,Alessandria,421284,78,91,112,203
18-feb,6,41,Piemonte,Alessandria,421284,84,91,115,206
19-feb,7,41,Piemonte,Alessandria,421284,94,91,114,205
13-feb,1,42,Piemonte,Asti,214638,136,91,112,203
14-feb,2,42,Piemonte,Asti,214638,120,90,112,202
15-feb,3,42,Piemonte,Asti,214638,116,90,111,201
16-feb,4,42,Piemonte,Asti,214638,127,90,112,202
17-feb,5,42,Piemonte,Asti,214638,112,91,112,203
18-feb,6,42,Piemonte,Asti,214638,89,91,115,206
19-feb,7,42,Piemonte,Asti,214638,80,91,114,205
13-feb,1,43,Piemonte,Biella,175585,80,91,112,203
14-feb,2,43,Piemonte,Biella,175585,77,90,112,202
15-feb,3,43,Piemonte,Biella,175585,74,90,111,201
16-feb,4,43,Piemonte,Biella,175585,80,90,112,202
17-feb,5,43,Piemonte,Biella,175585,86,91,112,203
18-feb,6,43,Piemonte,Biella,175585,75,91,115,206
19-feb,7,43,Piemonte,Biella,175585,105,91,114,205
13-feb,1,44,Piemonte,Cuneo,587098,87,91,112,203
14-feb,2,44,Piemonte,Cuneo,587098,88,90,112,202
15-feb,3,44,Piemonte,Cuneo,587098,86,90,111,201
16-feb,4,44,Piemonte,Cuneo,587098,86,90,112,202
17-feb,5,44,Piemonte,Cuneo,587098,89,91,112,203
18-feb,6,44,Piemonte,Cuneo,587098,84,91,115,206
19-feb,7,44,Piemonte,Cuneo,587098,90,91,114,205
13-feb,1,45,Piemonte,Novara,369018,106,91,112,203
14-feb,2,45,Piemonte,Novara,369018,100,90,112,202
15-feb,3,45,Piemonte,Novara,369018,97,90,111,201
16-feb,4,45,Piemonte,Novara,369018,99,90,112,202
17-feb,5,45,Piemonte,Novara,369018,99,91,112,203
18-feb,6,45,Piemonte,Novara,369018,79,91,115,206
19-feb,7,45,Piemonte,Novara,369018,88,91,114,205
13-feb,1,46,Piemonte,Torino,2259523,136,91,112,203
14-feb,2,46,Piemonte,Torino,2259523,133,90,112,202
15-feb,3,46,Piemonte,Torino,2259523,136,90,111,201
16-feb,4,46,Piemonte,Torino,2259523,141,90,112,202
17-feb,5,46,Piemonte,Torino,2259523,151,91,112,203
18-feb,6,46,Piemonte,Torino,2259523,129,91,115,206
19-feb,7,46,Piemonte,Torino,2259523,139,91,114,205
13-feb,1,47,Piemonte,Vercelli,170911,87,91,112,203
14-feb,2,47,Piemonte,Vercelli,170911,88,90,112,202
15-feb,3,47,Piemonte,Vercelli,170911,82,90,111,201
16-feb,4,47,Piemonte,Vercelli,170911,81,90,112,202
17-feb,5,47,Piemonte,Vercelli,170911,92,91,112,203
18-feb,6,47,Piemonte,Vercelli,170911,84,91,115,206
19-feb,7,47,Piemonte,Vercelli,170911,85,91,114,205
13-feb,1,48,Piemonte,VCO,158349,121,91,112,203
14-feb,2,48,Piemonte,VCO,158349,142,90,112,202
15-feb,3,48,Piemonte,VCO,158349,140,90,111,201
16-feb,4,48,Piemonte,VCO,158349,148,90,112,202
17-feb,5,48,Piemonte,VCO,158349,186,91,112,203
18-feb,6,48,Piemonte,VCO,158349,164,91,115,206
19-feb,7,48,Piemonte,VCO,158349,195,91,114,205
13-feb,1,51,Toscana,Firenze,1011349,120,117,114,231
14-feb,2,51,Toscana,Firenze,1011349,120,116,114,230
15-feb,3,51,Toscana,Firenze,1011349,116,116,115,231
16-feb,4,51,Toscana,Firenze,1011349,119,116,113,229
