,data,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,oltre 90,12/12/2020,12/19/2020,12/25/2020,12/31/2020,1/4/2021,1/13/2021,1/22/2021,1/29/2021,1/30/2021
2,12/19/2020,4.513701404,8.134786717,11.30534557,12.18108801,16.12277268,17.64477592,11.2943777,8.651964093,7.299541037,2.851646868,32136,34704,36769,38418,39805,43192,46247,49076,49582
3,12/25/2020,4.840339995,7.923271307,11.59660005,12.54192511,15.97404089,17.52929014,11.61038364,8.49758787,6.897541925,2.589019067,70941,75633,78964,82021,84579,91379,97081,101042,101832
4,12/31/2020,4.562155542,8.087276019,11.56713438,12.52962006,16.02545329,17.44854762,11.70292074,8.826113581,6.785324423,2.465454352,106508,113274,118328,122856,126816,136702,144073,148788,149650
5,1/4/2021,4.470996043,8.13982024,11.96509095,13.12616951,15.89926071,17.38703641,11.76263076,8.544740636,6.558483389,2.145771343,111387,118853,124561,129537,133973,144428,152199,157651,158724
6,1/13/2021,4.414307703,8.770340717,12.35613436,12.74568799,15.63471905,17.19610066,11.48201402,8.534074858,6.645848245,2.220772393,152362,162617,169854,176262,181748,194883,205037,212203,213553
7,1/22/2021,5.220720976,9.345325313,11.79499219,12.09695046,15.36182373,17.07319048,11.24936249,8.564929125,6.802561383,2.490143855,166842,177787,185726,192560,198562,212644,223766,231349,232737
8,1/29/2021,6.757640044,9.467347056,10.80786652,11.97867095,15.69520096,16.96347686,11.21265982,8.279341781,6.550083137,2.287712861,92705,99228,104162,108339,112093,121032,127855,132703,133612
,,,,,,,,,,,,70941,76171,79816,83101,85913,92746,98078,101692,102376
,,,,,,,,,,,,78137,83495,87040,90063,92633,98987,104008,107425,108026
,,,,,,,,,,,,39588,42256,43940,45331,46386,49023,51365,52922,53150
,,,,,,,,,,,,60,59,57,58,59,64,57,58,57
,,,,,,,,,,,,34543,37325,39474,41252,42780,46362,49756,52820,53420
,,,,,,,,,,,,78397,83347,86914,89932,92681,99727,105569,109864,110748
,,,,,,,,,,,,109560,116194,121236,125397,129238,138859,146058,150768,151652
,,,,,,,,,,,,108129,115101,120312,124748,128870,138537,145709,150703,151728
,,,,,,,,,,,,132856,141711,148381,154011,158891,170439,179261,185782,187057
,,,,,,,,,,,,156541,166510,173832,180105,185439,198505,208473,215683,217050
,,,,,,,,,,,,106930,113794,118968,123582,127497,136685,143758,148688,149658
,,,,,,,,,,,,78882,83907,87660,91005,93764,100404,105652,109258,109903
,,,,,,,,,,,,53619,56913,59373,61447,63153,67291,70673,72968,73361
,,,,,,,,,,,,11525,12237,12807,13268,13612,14481,15215,15653,15732
,,,,,,,,,,,,63,63,62,63,62,62,61,55,54
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0-9,5350,4214,3427,2915,6969,6449,5893,1106
,,,,,,,,,,,,10-19,9642,6898,6075,5307,13846,11544,8256,1674
,,,,,,,,,,,,20-29,13400,10096,8689,7801,19507,14570,9425,1746
,,,,,,,,,,,,30-39,14438,10919,9412,8558,20122,14943,10446,2098
,,,,,,,,,,,,40-49,19110,13907,12038,10366,24683,18976,13687,2625
,,,,,,,,,,,,50-59,20914,15261,13107,11336,27148,21090,14793,2755
,,,,,,,,,,,,60-69,13387,10108,8791,7669,18127,13896,9778,1879
,,,,,,,,,,,,70-79,10255,7398,6630,5571,13473,10580,7220,1329
,,,,,,,,,,,,80-89,8652,6005,5097,4276,10492,8403,5712,994
,,,,,,,,,,,,>90,3380,2254,1852,1399,3506,3076,1995,307
,,,,,,,,,,,,,118528,87060,75118,65198,157873,123527,87205,16513
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0-9,4.513701404,4.840339995,4.562155542,4.470996043,4.414307703,5.220720976,6.757640044,6.697753285
,,,,,,,,,,,,10-19,8.134786717,7.923271307,8.087276019,8.13982024,8.770340717,9.345325313,9.467347056,10.13746745
,,,,,,,,,,,,20-29,11.30534557,11.59660005,11.56713438,11.96509095,12.35613436,11.79499219,10.80786652,10.57348756
,,,,,,,,,,,,30-39,12.18108801,12.54192511,12.52962006,13.12616951,12.74568799,12.09695046,11.97867095,12.7051414
,,,,,,,,,,,,40-49,16.12277268,15.97404089,16.02545329,15.89926071,15.63471905,15.36182373,15.69520096,15.89656634
,,,,,,,,,,,,50-59,17.64477592,17.52929014,17.44854762,17.38703641,17.19610066,17.07319048,16.96347686,16.68382487
,,,,,,,,,,,,60-69,11.2943777,11.61038364,11.70292074,11.76263076,11.48201402,11.24936249,11.21265982,11.37891358
,,,,,,,,,,,,70-79,8.651964093,8.49758787,8.826113581,8.544740636,8.534074858,8.564929125,8.279341781,8.048204445
,,,,,,,,,,,,80-89,7.299541037,6.897541925,6.785324423,6.558483389,6.645848245,6.802561383,6.550083137,6.019499788
,,,,,,,,,,,,oltre 90,2.851646868,2.589019067,2.465454352,2.145771343,2.220772393,2.490143855,2.287712861,1.859141283
,,,,,,,,,,,,somma,100,100,100,100,100,100,100,100
,,,,,,,,,,,,data,12/19/2020,12/25/2020,12/31/2020,1/4/2021,1/13/2021,1/22/2021,1/29/2021,1/30/2021
