Paese,dato,date,year_week,Ospedali/TI,source,url
Austria,Ospedali,5/18/2020,2020-W21,151,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/19/2020,2020-W21,143,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/20/2020,2020-W21,137,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/21/2020,2020-W21,156,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/22/2020,2020-W21,128,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/23/2020,2020-W21,116,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/24/2020,2020-W21,108,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/25/2020,2020-W22,108,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/26/2020,2020-W22,95,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/27/2020,2020-W22,84,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/28/2020,2020-W22,77,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/29/2020,2020-W22,78,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/30/2020,2020-W22,75,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/31/2020,2020-W22,70,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/1/2020,2020-W23,68,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/2/2020,2020-W23,62,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/3/2020,2020-W23,66,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/4/2020,2020-W23,65,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/5/2020,2020-W23,55,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/6/2020,2020-W23,55,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/7/2020,2020-W23,52,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/8/2020,2020-W24,65,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/9/2020,2020-W24,65,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/10/2020,2020-W24,63,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/11/2020,2020-W24,67,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/12/2020,2020-W24,60,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/13/2020,2020-W24,62,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/14/2020,2020-W24,57,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/15/2020,2020-W25,64,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/16/2020,2020-W25,66,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/17/2020,2020-W25,60,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/18/2020,2020-W25,64,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/19/2020,2020-W25,68,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/20/2020,2020-W25,66,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/21/2020,2020-W25,61,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/22/2020,2020-W26,59,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/23/2020,2020-W26,57,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/24/2020,2020-W26,59,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/25/2020,2020-W26,60,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/26/2020,2020-W26,60,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/27/2020,2020-W26,61,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/28/2020,2020-W26,62,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/29/2020,2020-W27,66,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/30/2020,2020-W27,58,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/1/2020,2020-W27,65,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/2/2020,2020-W27,62,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/3/2020,2020-W27,65,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/4/2020,2020-W27,60,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/5/2020,2020-W27,62,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/6/2020,2020-W28,67,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/7/2020,2020-W28,81,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/8/2020,2020-W28,66,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/9/2020,2020-W28,66,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/10/2020,2020-W28,71,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/11/2020,2020-W28,68,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/12/2020,2020-W28,73,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/13/2020,2020-W29,74,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/14/2020,2020-W29,74,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/15/2020,2020-W29,86,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/16/2020,2020-W29,83,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/17/2020,2020-W29,88,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/18/2020,2020-W29,87,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/19/2020,2020-W29,85,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/20/2020,2020-W30,96,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/21/2020,2020-W30,96,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/22/2020,2020-W30,93,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/23/2020,2020-W30,87,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/24/2020,2020-W30,86,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/25/2020,2020-W30,85,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/26/2020,2020-W30,82,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/27/2020,2020-W31,79,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/28/2020,2020-W31,74,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/29/2020,2020-W31,74,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/30/2020,2020-W31,87,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,7/31/2020,2020-W31,84,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,8/1/2020,2020-W31,70,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,8/2/2020,2020-W31,73,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,8/3/2020,2020-W32,92,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,8/4/2020,2020-W32,84,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,8/5/2020,2020-W32,90,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,8/6/2020,2020-W32,92,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,8/7/2020,2020-W32,93,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,8/8/2020,2020-W32,96,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,8/9/2020,2020-W32,99,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,8/10/2020,2020-W33,92,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,8/11/2020,2020-W33,94,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,8/12/2020,2020-W33,93,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,8/13/2020,2020-W33,92,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,8/14/2020,2020-W33,91,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,8/15/2020,2020-W33,83,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,8/16/2020,2020-W33,65,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,8/17/2020,2020-W34,91,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,8/18/2020,2020-W34,97,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,8/19/2020,2020-W34,101,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,8/20/2020,2020-W34,95,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
